full_address,lat_long
"11441 HEACOCK ST, MORENO VALLEY, CA 92557","(33.958251, -117.244066)"
"2195 CLUB CTR DR, SAN BERNARDINO, CA 92408","(34.0947, -117.259667)"
"12401 WASHINGTON BLVD, WHITTIER, CA 90602","(33.969794, -118.04936)"
"701 PLEASANT GROVE, ROSEVILLE, CA 95678","(38.753484, -121.295594)"
"1004 14TH AVE, DELANO, CA 93215","(35.774352, -119.245449)"
"1541 FLORIDA AVE, MODESTO, CA 95350","(37.666661, -120.996376)"
"39000 BOB HOPE DR, RANCHO MIRAGE, CA 92270","(33.764185, -116.407363)"
"4870 BARRANCA PKWY, IRVINE, CA 92604","(33.676314, -117.796052)"
"510 SUPERIOR AVE, NEWPORT BEACH, CA 92663","(33.624982, -117.93492)"
"15 E ARRELLAGA ST, SANTA BARBARA, CA 93101","(34.427344, -119.709543)"
"10884 SANTA MONICA BL, WESTWOOD, CA 90025","(34.049805, -118.4376)"
"1165 MONTGOMERY DR, SANTA ROSA, CA 95405","(38.443799, -122.70136)"
"3100 E FLORENCE AVE, HUNTINGTON PARK, CA 90255","(33.97256, -118.212374)"
"1601 MONTE VISTA AVE, CLAREMONT, CA 91711","(34.112238, -117.699295)"
"9645 MONTE VISTA AVE, MONTCLAIR, CA 91763","(34.080153, -117.697199)"
"1100 W STEWART DR, ORANGE, CA 92868","(33.78253, -117.865078)"
"845 W LA VETA AVE, ORANGE, CA 92868","(33.780729, -117.861396)"
"2700 E SLAUSON AVE, HUNTINGTON PARK, CA 90255","(33.988942, -118.222275)"
"3621 M L KING JR BLVD, LYNWOOD, CA 90262","(33.924538, -118.202954)"
"457 S LONG BEACH BLVD, COMPTON, CA 90221","(33.892671, -118.208192)"
"9840 IMPERIAL HWY, DOWNEY, CA 90242","(33.91693, -118.117648)"
"544 N GLENDALE AVE, GLENDALE, CA 91206","(34.154361, -118.242597)"
"1100 W STEWART DR, ORANGE, CA 92868","(33.78253, -117.865078)"
"1111 W LA PALMA AVE, ANAHEIM, CA 92801","(33.847285, -117.932542)"
"1201 W LA VETA AVE, ORANGE, CA 92868","(33.780472, -117.86587)"
"1107 S ALVARADO ST, LOS ANGELES, CA 90006","(34.05001, -118.281179)"
"3851 SOTO ST, VERNON, CA 90058","(34.007157, -118.22083)"
"151 S SUNRISE WY, PALM SPRINGS, CA 92262","(33.823987, -116.528376)"
"45280 SEELEY DR, LA QUINTA, CA 92253","(33.71889, -116.29394)"
"525 W ACACIA ST, STOCKTON, CA 95203","(37.961366, -121.300575)"
"72780 COUNTRY CLUB, RANCHO MIRAGE, CA 92270","(33.758429, -116.392224)"
"1820 41ST AVE, CAPITOLA, CA 95010","(36.975953, -121.963692)"
"1108 WARD AVE, PATTERSON, CA 95363","(37.464504, -121.140945)"
"1729 TULLY RD, MODESTO, CA 95350","(37.669795, -121.012364)"
"408 5TH ST, GUSTINE, CA 95322","(37.25595, -120.999437)"
"1510 FLORIDA AVE, MODESTO, CA 95350","(37.665703, -120.996068)"
"1000 SUTTER ST, YUBA CITY, CA 95991","(39.138879, -121.609155)"
"1211 CORTINA DR, ORLAND, CA 95963","(39.741539, -122.201431)"
"278 MAIN ST, HAMILTON CITY, CA 95951","(39.741338, -122.011533)"
"2800 LINCOLN ST, OROVILLE, CA 95966","(39.501434, -121.551818)"
"4941 OLIVEHURST AVE, OLIVEHURST, CA 95961","(39.097061, -121.551415)"
"520 KENTUCKY ST, GRIDLEY, CA 95948","(39.363956, -121.696263)"
"555 FREMONT ST, COLUSA, CA 95932","(39.207795, -122.011026)"
"680 COHASSET RD, CHICO, CA 95926","(39.75282, -121.846168)"
"7981 HWY 99 E, LOS MOLINOS, CA 96055","(40.029327, -122.099752)"
"89 PUTNAM WY, ARBUCKLE, CA 95912","(39.035053, -122.069468)"
"931 MARKET ST, YUBA CITY, CA 95991","(39.14414, -121.614327)"
"2335 E KASHIAN LN, FRESNO, CA 93701","(36.743713, -119.783137)"
"290 N WAYTE LN, FRESNO, CA 93701","(36.746524, -119.783163)"
"292 EUCLID AVE, SAN DIEGO, CA 92114","(32.707278, -117.085804)"
"1700 N ROSE AVE, OXNARD, CA 93030","(34.217359, -119.155526)"
"1801 SOLAR DR, OXNARD, CA 93030","(34.218214, -119.145725)"
"1401 AVOCADO AVE, NEWPORT BEACH, CA 92660","(33.610715, -117.872121)"
"25500 RANCHO NIGUEL, LAGUNA NIGUEL, CA 92677","(33.554165, -117.689312)"
"25500 RANCHO NIGUEL, LAGUNA NIGUEL, CA 92677","(33.554165, -117.689312)"
"800 CORP DR, LADERA RANCH, CA 92694","(33.57086, -117.63561)"
"2280 HARRISON AVE, EUREKA, CA 95501","(40.788049, -124.139755)"
"2280 HARRISON AVENUE, EUREKA, CA 95501","(40.788049, -124.139755)"
"2379 23RD ST, EUREKA, CA 95501","(40.786994, -124.142883)"
"2752 HARRISON AVE, EUREKA, CA 95501","(40.78313, -124.139782)"
"1600 N ROSE AVE, OXNARD, CA 93030","(34.216838, -119.156239)"
"2309 ANTONIO AVE, CAMARILLO, CA 93010","(34.243603, -119.019839)"
"1301 SECRET RAVINE, ROSEVILLE, CA 95661","(38.763762, -121.245783)"
"1301 SECRET RAVINE, ROSEVILLE, CA 95661","(38.763762, -121.245783)"
"1561 CREEKSIDE DR, FOLSOM, CA 95630","(38.66705, -121.1514)"
"1561 CREEKSIDE DR, FOLSOM, CA 95630","(38.66705, -121.1514)"
"2345 EL CAMINO AVE, SACRAMENTO, CA 95821","(38.610874, -121.408629)"
"6555 COYLE AVE, CARMICHAEL, CA 95608","(38.668147, -121.31437)"
"27800 MEDICAL CTR RD, MISSION VIEJO, CA 92691","(33.605527, -117.667923)"
"5355 WARNER AVE, HUNTINGTON BEACH, CA 92649","(33.715447, -118.034954)"
"1285 S STATE ST, HEMET, CA 92543","(33.727884, -116.972691)"
"27699 JEFFERSON AVE, TEMECULA, CA 92590","(33.514201, -117.159896)"
"36320 INLAND VLY DR, WILDOMAR, CA 92595","(33.595716, -117.236654)"
"3989 W STETSON AVE, HEMET, CA 92544","(33.729312, -116.960987)"
"3989 W STETSON AVE, HEMET, CA 92545","(33.729218, -117.002196)"
