Latitude,Longitude,City,Address,State,Specialty,Postal Code,Pre-HB2,Post-HB2
29.50709,-98.584726,San Antonio,"7402 John Smith Dr, San Antonio, TX 78229, USA",TX,Abortion Clinic,78229,N,Y
30.239208,-97.738842,Austin,"1902 S IH 35 Frontage Rd, Austin, TX 78704, USA",TX,Abortion Clinic,78704,Y,Y
31.771248,-106.493813,El Paso,"1600 N Campbell St, El Paso, TX 79902, USA",TX,Abortion Clinic,79902,Y,Y
29.729895,-95.384283,Houston,"1101 Rosedale St, Houston, TX 77004, USA",TX,Abortion Clinic,77004,Y,Y
29.725664,-95.334833,Houston,"4600 Gulfcrest, Houston, TX 77023, USA",TX,Abortion Clinic,77023,N,Y
32.64904,-96.876731,Dallas,"7989-7991 W Virginia Dr, Dallas, TX 75237, USA",TX,Abortion Clinic,75237,N,Y
32.654781,-97.420068,Fort Worth,"6220 John Ryan Dr, Fort Worth, TX 76132, USA",TX,Abortion Clinic,76132,Y,Y
30.221528,-97.762793,Austin,"157-187 E Ben White Blvd, Austin, TX 78704, USA",TX,Abortion Clinic,78704,Y,Y
29.502576,-98.582416,San Antonio,"7202-7298 W Beverly Mae Dr, San Antonio, TX 78229, USA",TX,Abortion Clinic,78229,N,Y
31.770149,-106.477059,El Paso,"601-647 Langtry St, El Paso, TX 79902, USA",TX,Abortion Clinic,79902,Y,Y
32.894618,-96.752517,Dallas,"8622 Greenville Ave, Dallas, TX 75243, USA",TX,Abortion Clinic,75243,Y,Y
29.733992,-95.425071,Houston,"3105-3121 Richmond Ave, Houston, TX 77098, USA",TX,Abortion Clinic,77098,Y,Y
29.708016,-95.500948,Houston,"6656-6660 Tarnef Dr, Houston, TX 77074, USA",TX,Abortion Clinic,77074,Y,Y
29.809258,-95.410231,Houston,"2510 N Shepherd Dr, Houston, TX 77008, USA",TX,Abortion Clinic,77008,Y,Y
32.725114,-97.434781,Fort Worth,"3250-3264 Lackland Rd, Fort Worth, TX 76116, USA",TX,Abortion Clinic,76116,Y,Y
26.1965,-98.235695,McAllen,"801 S Main St, McAllen, TX 78501, USA",TX,Abortion Clinic,78501,Y,Y
29.374869,-98.415832,San Antonio,"4025 E Southcross, San Antonio, TX 78222, USA",TX,Abortion Clinic,78222,Y,Y
29.374869,-98.415832,San Antonio,"4025 E Southcross, San Antonio, TX 78222, USA",TX,Abortion Clinic,78222,Y,Y
29.688494,-95.526135,Houston,"8316-8358 Wednesbury Ln, Houston, TX 77074, USA",TX,Abortion Clinic,77074,Y,Y
