census_tract,zero_to_eighteen,zero_to_eighteen_percent,nineteen_to_twenty_five,nineteen_to_twenty_five_percent,twenty_six_to_thirty_four,twenty_six_to_thirty_four_percent,thirty_five_to_fifty_four,thirty_five_to_fifty_four_percent,fifty_five_to_sixty_four,fifty_five_to_sixty_four_percent,sixty_five_plus,sixty_five_plus_percent
04001942700,1981.0,34.82770745428973,556.0,9.774964838255977,545.0,9.581575246132209,1435.0,25.22855133614627,527.0,9.265119549929675,644.0,11.322081575246132
04001944000,2090.0,34.172661870503596,587.0,9.59777632439503,643.0,10.5134074558535,1612.0,26.357096141268805,615.0,10.055591890124264,569.0,9.303466317854808
04001944100,2211.0,37.19091673675358,768.0,12.918418839360807,651.0,10.950378469301935,1386.0,23.31370899915896,447.0,7.51892346509672,482.0,8.107653490328007
04001944201,1651.0,40.60501721593704,396.0,9.739301524840139,450.0,11.067388096409248,942.0,23.167732415150024,325.0,7.993113625184456,302.0,7.427447122479094
04001944202,1479.0,36.05558264261336,433.0,10.555826426133594,454.0,11.067771818625062,1073.0,26.15797172111165,361.0,8.800585080448561,302.0,7.362262311067772
04001944300,2622.0,37.30791121229368,693.0,9.860557768924302,699.0,9.945930563460443,1758.0,25.014228799089356,564.0,8.025042686397269,692.0,9.846328969834946
04001944901,1476.0,36.318897637795274,411.0,10.113188976377954,352.0,8.661417322834646,1003.0,24.680118110236222,390.0,9.596456692913385,432.0,10.62992125984252
04001944902,1610.0,32.904148783977114,433.0,8.849376660535459,455.0,9.298998569384835,1267.0,25.894134477825464,491.0,10.03474351113836,637.0,13.01859799713877
04001945001,1508.0,33.12101910828025,419.0,9.202723479024819,470.0,10.322864045684165,1244.0,27.322644410278933,508.0,11.15747858554799,404.0,8.873270371183835
04001945002,1253.0,31.705465587044536,423.0,10.70344129554656,354.0,8.95748987854251,1058.0,26.771255060728745,409.0,10.349190283400809,455.0,11.513157894736842
04001945100,823.0,36.61032028469751,234.0,10.409252669039146,216.0,9.608540925266903,556.0,24.733096085409255,222.0,9.875444839857652,197.0,8.763345195729537
04001970200,1099.0,21.870646766169155,202.0,4.019900497512438,287.0,5.711442786069652,1392.0,27.70149253731343,1070.0,21.293532338308456,975.0,19.402985074626866
