census_tract,zero_to_eighteen,zero_to_eighteen_percent,nineteen_to_twenty_five,nineteen_to_twenty_five_percent,twenty_six_to_thirty_four,twenty_six_to_thirty_four_percent,thirty_five_to_fifty_four,thirty_five_to_fifty_four_percent,fifty_five_to_sixty_four,fifty_five_to_sixty_four_percent,sixty_five_plus,sixty_five_plus_percent
22001960200,1779.0,29.400099157164107,528.0,8.72583044124938,709.0,11.717071558420097,1647.0,27.218641546851757,740.0,12.229383572963147,648.0,10.708973723351512
22001960300,1051.0,28.929259565097716,316.0,8.698045692265346,410.0,11.28543903110377,1046.0,28.79163225984035,389.0,10.707404349022847,421.0,11.588219102669969
22001960400,1980.0,29.74312753492564,584.0,8.772720444644735,742.0,11.146161934805468,1945.0,29.217365179510292,677.0,10.169746131891243,729.0,10.950878774222621
22001960500,1768.0,28.622308564027843,586.0,9.486805892828233,739.0,11.963736441638336,1849.0,29.93362473692731,653.0,10.571474825967297,582.0,9.422049538610976
22001960600,1673.0,27.721623860811928,536.0,8.88152444076222,690.0,11.433305716652859,1635.0,27.091963545981773,664.0,11.00248550124275,837.0,13.869096934548466
22001960700,1255.0,28.797613584212943,380.0,8.71959614502065,441.0,10.119320789352916,1241.0,28.476365305185862,507.0,11.633776961909133,534.0,12.253327214318494
22001960800,1364.0,25.03211598458433,480.0,8.80895577170123,554.0,10.167003119838503,1374.0,25.21563589649477,616.0,11.304826573683245,1061.0,19.471462653697927
22001960900,1554.0,30.262901655306717,501.0,9.756572541382667,533.0,10.379746835443038,1321.0,25.72541382667965,545.0,10.613437195715676,681.0,13.261927945472248
22001961000,1490.0,27.705466716251394,529.0,9.836370397917442,644.0,11.974711788769058,1386.0,25.771662328002975,602.0,11.19375232428412,727.0,13.518036444775008
22001961100,1110.0,29.080429656798536,326.0,8.540738800104794,431.0,11.291590254126277,1090.0,28.55645795127063,439.0,11.501178936337437,421.0,11.029604401362327
22001961200,976.0,27.837992013690815,321.0,9.155733029092982,362.0,10.325156873930405,1057.0,30.14831717056475,416.0,11.865373645179691,374.0,10.667427267541358
22003950100,1553.0,30.027068832173242,385.0,7.4439288476411445,587.0,11.349574632637276,1436.0,27.764887857695282,572.0,11.059551430781129,639.0,12.354988399071926
22003950200,757.0,13.867008609635464,529.0,9.690419490749221,1118.0,20.47994138120535,2048.0,37.51602857666239,545.0,9.983513464004396,462.0,8.463088477743176
22003950300,864.0,27.22117202268431,319.0,10.050409577819785,308.0,9.703843730308758,734.0,23.125393824826716,414.0,13.043478260869565,535.0,16.855702583490864
22003950400,1156.0,26.207209249603263,320.0,7.254590795737928,425.0,9.635003400589435,1219.0,27.63545681251417,539.0,12.219451371571072,752.0,17.048288369984128
22003950500,1860.0,23.46115035317861,673.0,8.488900100908173,1172.0,14.783047426841575,2450.0,30.903128153380422,833.0,10.507063572149345,940.0,11.856710393541876
22005030101,1915.0,28.86644558335846,508.0,7.6575218570997885,902.0,13.596623454929151,2047.0,30.856195357250527,709.0,10.68736810370817,553.0,8.335845643653904
