State,Issuer ID,Issuer Name,URL Submitted,Tech POC Email
AK,21989,Oregon Dental Service,https://www.modahealth.com/cms-data-index.json,jessica.wagner@modahealth.com
AK,38344,Premera Blue Cross Blue Shield of Alaska,https://fm.formularynavigator.com/jsonFiles/publish/11/47/cms-data-index.json,jim.tedford@premera.com
AK,73836,"Moda Health Plan, Inc.",https://www.modahealth.com/cms-data-index.json,jessica.wagner@modahealth.com
AK,74819,BEST Life and Health Insurance Company,http://www.bestlife.com/exchange/cms-data-index.json,rhill@bestlife.com
AL,12538,BEST Life and Health Insurance Company,http://www.bestlife.com/exchange/cms-data-index.json,rhill@bestlife.com
AL,17540,Guardian Life Insurance Company of America,NOT SUBMITTED,NOT SUBMITTED
AL,44580,Humana Insurance Company,https://api.humana.com/v1/cms/index.json,pboulet@humana.com
AL,46944,Blue Cross and Blue Shield of Alabama,https://www.bcbsal.org/cms/cms-data-index.json,HIMMachineReadableQuestions@bcbsal.org
AL,60075,TRUASSURE INSURANCE COMPANY,https://groupaccess.deltadentalil.com/cmsdata/index.json,jphillips@truassure.com
AL,68259,"UnitedHealthcare of Alabama, Inc.",https://unitedhealthcarecms.com/cms-data-index.json,cynthia.dawson@optum.com
AL,77233,Dentegra Insurance Company,http://www.dentegra.com/hcx/cms-data-index.json,mlinsangan@delta.org
AL,82285,Delta Dental Insurance Company,https://www.deltadental.com/CMSDirectory/index.json,bhenderson@deltadental.com
AR,26904,BEST Life and Health Insurance Company,http://www.bestlife.com/exchange/cms-data-index.json,rhill@bestlife.com
AR,28348,"Delta Dental Plan of Arkansas, Inc.",https://www.deltadental.com/CMSDirectory/index.json,bhenderson@deltadental.com
AR,37903,"QualChoice Life & Health Insurance Company, Inc.",https://provider-search.qualchoice.com/index.json,stephanie.cox@qualchoice.com
AR,60559,Dentegra Insurance Company,http://www.dentegra.com/hcx/cms-data-index.json,mlinsangan@delta.org
AR,62141,Celtic Insurance Company,https://api.centene.com/ambetter/reference/cms-data-index.json,jehaley@centene.com
AR,65817,"UnitedHealthcare of Arkansas, Inc.",https://unitedhealthcarecms.com/cms-data-index.json,cynthia.dawson@optum.com
AR,70525,"QCA Health Plan, Inc.",https://provider-search.qualchoice.com/index.json,stephanie.cox@qualchoice.com
AR,75293,USAble Mutual Insurance Company,https://secure.arkansasbluecross.com/doclib/QHP/index.json,SLWILLIAMS@arkbluecross.com
AZ,12303,"DSM USA Insurance Company, Inc.",https://www.dentaquest.com/getattachment/Marketplace/CMSDataIndex/cms-data-index.json,Elizabeth.Lund@greatdentalplans.com
AZ,17100,Metropolitan Life Insurance Company,https://qa.www.assets.metlife.com/phoenix/public/json/metlife-data-index.json,bjvance@metlife.com
AZ,17454,Guardian Life Insurance Company of America,NOT SUBMITTED,NOT SUBMITTED
AZ,23307,"Humana Health Plan, Inc.",https://api.humana.com/v1/cms/index.json,pboulet@humana.com
AZ,24106,TRUASSURE INSURANCE COMPANY,https://groupaccess.deltadentalil.com/cmsdata/index.json,jphillips@truassure.com
AZ,30045,"Arizona Dental Insurance Service, Inc.",https://www.deltadental.com/CMSDirectory/index.json,bhenderson@deltadental.com
AZ,33851,Premier Access Insurance Company,https://www.premierlife.com/secure/index.json,exchangeit@premierlife.com
AZ,51485,Health Net Life Insurance Company,http://www.healthnet.com/static/hhs_az_json_20439/index.json,allison.x.von.horn@healthnet.com
AZ,53613,"Educators Health Plans Life, Accident, and Health, Inc",https://emihealth.com/services/providerdata/cms-data-index.json,gmartinez@emihealth.com
AZ,53901,"Blue Cross Blue Shield of Arizona, Inc.",https://azblue.com/JSON/Index.JSON,dsssuppo@azblue.com
