county,total_0_to_30_min,total_30_to_45_min,total_45_to_60_min,total_60_plus_min,min_driving_time,avg_driving_time,max_driving_time,age_0_to_18_years_0_30_min,age_0_to_18_years_30_45_min,age_0_to_18_years_45_60_min,age_0_to_18_years_60_plus_min,age_19_to_25_years_0_30_min,age_19_to_25_years_30_45_min,age_19_to_25_years_45_60_min,age_19_to_25_years_60_plus_min,age_26_to_34_years_0_30_min,age_26_to_34_years_30_45_min,age_26_to_34_years_45_60_min,age_26_to_34_years_60_plus_min,age_35_to_54_years_0_30_min,age_35_to_54_years_30_45_min,age_35_to_54_years_45_60_min,age_35_to_54_years_60_plus_min,age_55_to_64_years_0_30_min,age_55_to_64_years_30_45_min,age_55_to_64_years_45_60_min,age_55_to_64_years_60_plus_min,age_65_plus_years_0_to_30_min,age_65_plus_years_30_to_45_min,age_65_plus_years_45_to_60_min,age_65_plus_years_60_min,income_0_to_15_k_0_30_min,income_0_to_15_k_30_45_min,income_0_to_15_k_45_60_min,income_0_to_15_k_60_plus_min,income_15_k_to_50_k_0_30_min,income_15_k_to_50_k_30_45_min,income_15_k_to_50_k_45_60_min,income_15_k_to_50_k_60_plus_min,income_50_k_to_100_k_0_30_min,income_50_k_to_100_k_30_45_min,income_50_k_to_100_k_45_60_min,income_50_k_to_100_k_60_plus_min,income_100_k_to_150_k_0_30_min,income_100_k_to_150_k_30_45_min,income_100_k_to_150_k_45_60_min,income_100_k_to_150_k_60_plus_min,income_150_k_to_200_k_0_30_min,income_150_k_to_200_k_30_45_min,income_150_k_to_200_k_45_60_min,income_150_k_to_200_k_60_plus_min,income_200_k_plus_0_to_30_min,income_200_k_plus_30_to_45_min,income_200_k_plus_45_to_60_min,income_200_k_plus_60_min,insurance_private_health_insurance_0_to_30_min,insurance_private_health_insurance_30_to_45_min,insurance_private_health_insurance_45_to_60_min,insurance_private_health_insurance_60_plus_min,insurance_public_health_insurance_0_to_30_min,insurance_public_health_insurance_30_to_45_min,insurance_public_health_insurance_45_to_60_min,insurance_public_health_insurance_60_plus_min,insurance_no_health_insurance_0_to_30_min,insurance_no_health_insurance_30_to_45_min,insurance_no_health_insurance_45_to_60_min,insurance_no_health_insurance_60_plus_min,race_hispanic_or_latino_any_race_0_to_30_min,race_hispanic_or_latino_any_race_30_to_45_min,race_hispanic_or_latino_any_race_45_to_60_min,race_hispanic_or_latino_any_race_60_plus_min,race_white_0_to_30_min,race_white_30_to_45_min,race_white_45_to_60_min,race_white_60_plus_min,race_black_0_to_30_min,race_black_30_to_45_min,race_black_45_to_60_min,race_black_60_plus_min,race_american_indian_alaska_native_0_to_30_min,race_american_indian_alaska_native_30_to_45_min,race_american_indian_alaska_native_45_to_60_min,race_american_indian_alaska_native_60_plus_min,race_asian_0_to_30_min,race_asian_30_to_45_min,race_asian_45_to_60_min,race_asian_60_plus_min,race_native_hawaiian_other_pacific_islander_0_to_30_min,race_native_hawaiian_other_pacific_islander_30_to_45_min,race_native_hawaiian_other_pacific_islander_45_to_60_min,race_native_hawaiian_other_pacific_islander_60_plus_min,race_multiracial_or_other_0_to_30_min,race_multiracial_or_other_30_to_45_min,race_multiracial_or_other_45_to_60_min,race_multiracial_or_other_60_plus_min,sex_male_0_to_30_min,sex_male_30_to_45_min,sex_male_45_to_60_min,sex_male_60_plus_min,sex_female_0_to_30_min,sex_female_30_to_45_min,sex_female_45_to_60_min,sex_female_60_plus_min
Anderson County,0,0,0,59241,104,9.243697478991606e+41,1e+42,0,0,0,12708,0,0,0,4413,0,0,0,6860,0,0,0,16702,0,0,0,6623,0,0,0,7336,0,0,0,8051,0,0,0,25025,0,0,0,18253,0,0,0,4167,0,0,0,2515,0,0,0,1251,0,0,0,37317,0,0,0,19891,0,0,0,9230,0,0,0,10536,0,0,0,36677,0,0,0,10947,0,0,0,211,0,0,0,297,0,0,0,7,0,0,0,568,0,0,0,33537,0,0,0,25704
Andrews County,0,0,0,15609,1e+42,1.0000000000000005e+42,1e+42,0,0,0,4821,0,0,0,1530,0,0,0,1831,0,0,0,4184,0,0,0,1545,0,0,0,1698,0,0,0,1317,0,0,0,4808,0,0,0,5353,0,0,0,2504,0,0,0,1036,0,0,0,573,0,0,0,9759,0,0,0,4115,0,0,0,2703,0,0,0,9084,0,0,0,5906,0,0,0,233,0,0,0,6,0,0,0,14,0,0,0,0,0,0,0,372,0,0,0,7941,0,0,0,7668
Angelina County,0,0,0,90129,1e+42,9.999999999999952e+41,1e+42,0,0,0,24999,0,0,0,7853,0,0,0,10030,0,0,0,24473,0,0,0,10257,0,0,0,12517,0,0,0,13579,0,0,0,37146,0,0,0,27620,0,0,0,7756,0,0,0,2294,0,0,0,1740,0,0,0,50749,0,0,0,33912,0,0,0,16663,0,0,0,17522,0,0,0,57264,0,0,0,12905,0,0,0,80,0,0,0,996,0,0,0,8,0,0,0,1346,0,0,0,43444,0,0,0,46686
Aransas County,0,0,0,23180,1e+42,1.0000000000000007e+42,1e+42,0,0,0,4721,0,0,0,1408,0,0,0,1702,0,0,0,5791,0,0,0,3868,0,0,0,5691,0,0,0,3502,0,0,0,9312,0,0,0,5528,0,0,0,2790,0,0,0,909,0,0,0,1131,0,0,0,13123,0,0,0,9999,0,0,0,4161,0,0,0,5715,0,0,0,16238,0,0,0,341,0,0,0,61,0,0,0,197,0,0,0,0,0,0,0,630,0,0,0,11456,0,0,0,11724
Archer County,0,0,0,9847,125,9.917355371900851e+41,1e+42,0,0,0,2502,0,0,0,645,0,0,0,814,0,0,0,3040,0,0,0,1296,0,0,0,1550,0,0,0,1058,0,0,0,2966,0,0,0,3415,0,0,0,1658,0,0,0,410,0,0,0,333,0,0,0,7183,0,0,0,2720,0,0,0,1223,0,0,0,794,0,0,0,8740,0,0,0,64,0,0,0,113,0,0,0,48,0,0,0,0,0,0,0,88,0,0,0,4893,0,0,0,4954
Armstrong County,0,0,0,1734,1e+42,1.0000000000000002e+42,1e+42,0,0,0,405,0,0,0,77,0,0,0,172,0,0,0,456,0,0,0,269,0,0,0,355,0,0,0,159,0,0,0,492,0,0,0,593,0,0,0,342,0,0,0,128,0,0,0,19,0,0,0,1366,0,0,0,506,0,0,0,118,0,0,0,220,0,0,0,1451,0,0,0,12,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,882,0,0,0,851
Atascosa County,0,14607,29204,6532,32,65,134,0,4352,8702,1946,0,1182,2363,528,0,1472,2943,658,0,3995,7987,1786,0,1760,3518,787,0,1846,3691,826,0,1578,3155,706,0,5141,10278,2299,0,4782,9560,2138,0,2089,4178,934,0,670,1339,299,0,351,702,157,0,8830,17654,3948,0,4516,9030,2020,0,2697,5391,1206,0,9153,18299,4093,0,5145,10286,2301,0,104,208,46,0,19,38,8,0,51,103,23,0,0,0,0,0,135,270,60,0,7269,14533,3251,0,7338,14671,3281
Austin County,0,0,8495,20840,52,84,120,0,0,2234,5482,0,0,607,1488,0,0,816,2002,0,0,2405,5899,0,0,1138,2793,0,0,1295,3177,0,0,979,2402,0,0,2860,7016,0,0,2541,6233,0,0,1332,3268,0,0,477,1169,0,0,301,740,0,0,5695,13970,0,0,2535,6219,0,0,1419,3482,0,0,2226,5461,0,0,5340,13102,0,0,745,1828,0,0,2,5,0,0,6,15,0,0,0,0,0,0,177,434,0,0,4185,10268,0,0,4309,10572
Bailey County,0,0,0,7915,1e+42,1.0000000000000025e+42,1e+42,0,0,0,2544,0,0,0,710,0,0,0,877,0,0,0,1909,0,0,0,773,0,0,0,1101,0,0,0,847,0,0,0,4503,0,0,0,1923,0,0,0,427,0,0,0,135,0,0,0,103,0,0,0,3364,0,0,0,2992,0,0,0,2335,0,0,0,4883,0,0,0,2810,0,0,0,166,0,0,0,0,0,0,0,40,0,0,0,8,0,0,0,0,0,0,0,4203,0,0,0,3712
Bandera County,0,2638,7912,11109,36,86,146,0,540,1621,2275,0,134,403,565,0,180,539,757,0,785,2354,3304,0,471,1412,1982,0,528,1584,2224,0,341,1024,1438,0,897,2690,3777,0,821,2464,3459,0,333,999,1402,0,142,427,600,0,104,313,439,0,1719,5154,7237,0,1044,3130,4395,0,397,1190,1671,0,462,1386,1947,0,2095,6285,8824,0,17,51,71,0,13,38,53,0,5,16,22,0,0,0,0,0,46,137,192,0,1302,3905,5483,0,1336,4007,5626
