county,total_0_to_10_mi,total_10_to_20_mi,total_20_to_30_mi,total_30_plus_mi,min_straight_line,avg_straight_line,max_straight_line,age_0_to_18_years_0_10_mi,age_0_to_18_years_10_20_mi,age_0_to_18_years_20_30_mi,age_0_to_18_years_30_plus_mi,age_19_to_25_years_0_10_mi,age_19_to_25_years_10_20_mi,age_19_to_25_years_20_30_mi,age_19_to_25_years_30_plus_mi,age_26_to_34_years_0_10_mi,age_26_to_34_years_10_20_mi,age_26_to_34_years_20_30_mi,age_26_to_34_years_30_plus_mi,age_35_to_54_years_0_10_mi,age_35_to_54_years_10_20_mi,age_35_to_54_years_20_30_mi,age_35_to_54_years_30_plus_mi,age_55_to_64_years_0_10_mi,age_55_to_64_years_10_20_mi,age_55_to_64_years_20_30_mi,age_55_to_64_years_30_plus_mi,age_65_plus_years_0_to_10_mi,age_65_plus_years_10_to_20_mi,age_65_plus_years_20_to_30_mi,age_65_plus_years_30_mi,income_0_to_15_k_0_10_mi,income_0_to_15_k_10_20_mi,income_0_to_15_k_20_30_mi,income_0_to_15_k_30_plus_mi,income_15_k_to_50_k_0_10_mi,income_15_k_to_50_k_10_20_mi,income_15_k_to_50_k_20_30_mi,income_15_k_to_50_k_30_plus_mi,income_50_k_to_100_k_0_10_mi,income_50_k_to_100_k_10_20_mi,income_50_k_to_100_k_20_30_mi,income_50_k_to_100_k_30_plus_mi,income_100_k_to_150_k_0_10_mi,income_100_k_to_150_k_10_20_mi,income_100_k_to_150_k_20_30_mi,income_100_k_to_150_k_30_plus_mi,income_150_k_to_200_k_0_10_mi,income_150_k_to_200_k_10_20_mi,income_150_k_to_200_k_20_30_mi,income_150_k_to_200_k_30_plus_mi,income_200_k_plus_0_to_10_mi,income_200_k_plus_10_to_20_mi,income_200_k_plus_20_to_30_mi,income_200_k_plus_30_mi,insurance_private_health_insurance_0_to_10_mi,insurance_private_health_insurance_10_to_20_mi,insurance_private_health_insurance_20_to_30_mi,insurance_private_health_insurance_30_plus_mi,insurance_public_health_insurance_0_to_10_mi,insurance_public_health_insurance_10_to_20_mi,insurance_public_health_insurance_20_to_30_mi,insurance_public_health_insurance_30_plus_mi,insurance_no_health_insurance_0_to_10_mi,insurance_no_health_insurance_10_to_20_mi,insurance_no_health_insurance_20_to_30_mi,insurance_no_health_insurance_30_plus_mi,race_hispanic_or_latino_any_race_0_to_10_mi,race_hispanic_or_latino_any_race_10_to_20_mi,race_hispanic_or_latino_any_race_20_to_30_mi,race_hispanic_or_latino_any_race_30_plus_mi,race_white_0_to_10_mi,race_white_10_to_20_mi,race_white_20_to_30_mi,race_white_30_plus_mi,race_black_0_to_10_mi,race_black_10_to_20_mi,race_black_20_to_30_mi,race_black_30_plus_mi,race_american_indian_alaska_native_0_to_10_mi,race_american_indian_alaska_native_10_to_20_mi,race_american_indian_alaska_native_20_to_30_mi,race_american_indian_alaska_native_30_plus_mi,race_asian_0_to_10_mi,race_asian_10_to_20_mi,race_asian_20_to_30_mi,race_asian_30_plus_mi,race_native_hawaiian_other_pacific_islander_0_to_10_mi,race_native_hawaiian_other_pacific_islander_10_to_20_mi,race_native_hawaiian_other_pacific_islander_20_to_30_mi,race_native_hawaiian_other_pacific_islander_30_plus_mi,race_multiracial_or_other_0_to_10_mi,race_multiracial_or_other_10_to_20_mi,race_multiracial_or_other_20_to_30_mi,race_multiracial_or_other_30_plus_mi,sex_male_0_to_10_mi,sex_male_10_to_20_mi,sex_male_20_to_30_mi,sex_male_30_plus_mi,sex_female_0_to_10_mi,sex_female_10_to_20_mi,sex_female_20_to_30_mi,sex_female_30_plus_mi
Anderson County,0,0,0,59241,106538,141496,173921,0,0,0,12708,0,0,0,4413,0,0,0,6860,0,0,0,16702,0,0,0,6623,0,0,0,7336,0,0,0,8051,0,0,0,25025,0,0,0,18253,0,0,0,4167,0,0,0,2515,0,0,0,1251,0,0,0,37317,0,0,0,19891,0,0,0,9230,0,0,0,10536,0,0,0,36677,0,0,0,10947,0,0,0,211,0,0,0,297,0,0,0,7,0,0,0,568,0,0,0,33537,0,0,0,25704
Andrews County,0,0,0,15609,325650,371887,393021,0,0,0,4821,0,0,0,1530,0,0,0,1831,0,0,0,4184,0,0,0,1545,0,0,0,1698,0,0,0,1317,0,0,0,4808,0,0,0,5353,0,0,0,2504,0,0,0,1036,0,0,0,573,0,0,0,9759,0,0,0,4115,0,0,0,2703,0,0,0,9084,0,0,0,5906,0,0,0,233,0,0,0,6,0,0,0,14,0,0,0,0,0,0,0,372,0,0,0,7941,0,0,0,7668
Angelina County,0,0,0,90129,140590,160013,180358,0,0,0,24999,0,0,0,7853,0,0,0,10030,0,0,0,24473,0,0,0,10257,0,0,0,12517,0,0,0,13579,0,0,0,37146,0,0,0,27620,0,0,0,7756,0,0,0,2294,0,0,0,1740,0,0,0,50749,0,0,0,33912,0,0,0,16663,0,0,0,17522,0,0,0,57264,0,0,0,12905,0,0,0,80,0,0,0,996,0,0,0,8,0,0,0,1346,0,0,0,43444,0,0,0,46686
Aransas County,0,0,0,23180,183440,192232,199629,0,0,0,4721,0,0,0,1408,0,0,0,1702,0,0,0,5791,0,0,0,3868,0,0,0,5691,0,0,0,3502,0,0,0,9312,0,0,0,5528,0,0,0,2790,0,0,0,909,0,0,0,1131,0,0,0,13123,0,0,0,9999,0,0,0,4161,0,0,0,5715,0,0,0,16238,0,0,0,341,0,0,0,61,0,0,0,197,0,0,0,0,0,0,0,630,0,0,0,11456,0,0,0,11724
Archer County,0,0,0,9847,119404,151968,185099,0,0,0,2502,0,0,0,645,0,0,0,814,0,0,0,3040,0,0,0,1296,0,0,0,1550,0,0,0,1058,0,0,0,2966,0,0,0,3415,0,0,0,1658,0,0,0,410,0,0,0,333,0,0,0,7183,0,0,0,2720,0,0,0,1223,0,0,0,794,0,0,0,8740,0,0,0,64,0,0,0,113,0,0,0,48,0,0,0,0,0,0,0,88,0,0,0,4893,0,0,0,4954
Armstrong County,0,0,0,1734,324091,356635,376783,0,0,0,405,0,0,0,77,0,0,0,172,0,0,0,456,0,0,0,269,0,0,0,355,0,0,0,159,0,0,0,492,0,0,0,593,0,0,0,342,0,0,0,128,0,0,0,19,0,0,0,1366,0,0,0,506,0,0,0,118,0,0,0,220,0,0,0,1451,0,0,0,12,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,882,0,0,0,851
Atascosa County,0,5906,33163,11273,26736,52440,82694,0,1760,9882,3359,0,478,2683,912,0,595,3342,1136,0,1615,9070,3083,0,712,3995,1358,0,747,4192,1425,0,638,3583,1218,0,2079,11671,3968,0,1933,10856,3690,0,845,4744,1613,0,271,1520,517,0,142,797,271,0,3570,20047,6815,0,1826,10254,3486,0,1090,6122,2081,0,3701,20780,7064,0,2080,11681,3971,0,42,236,80,0,8,43,15,0,21,116,40,0,0,0,0,0,55,306,104,0,2939,16503,5610,0,2967,16659,5663
Austin County,0,0,0,29335,57619,85511,114272,0,0,0,7716,0,0,0,2095,0,0,0,2817,0,0,0,8304,0,0,0,3931,0,0,0,4472,0,0,0,3381,0,0,0,9876,0,0,0,8774,0,0,0,4600,0,0,0,1646,0,0,0,1041,0,0,0,19665,0,0,0,8754,0,0,0,4901,0,0,0,7688,0,0,0,18442,0,0,0,2573,0,0,0,7,0,0,0,20,0,0,0,0,0,0,0,611,0,0,0,14453,0,0,0,14882
Bailey County,0,0,0,7915,306011,334909,362142,0,0,0,2544,0,0,0,710,0,0,0,877,0,0,0,1909,0,0,0,773,0,0,0,1101,0,0,0,847,0,0,0,4503,0,0,0,1923,0,0,0,427,0,0,0,135,0,0,0,103,0,0,0,3364,0,0,0,2992,0,0,0,2335,0,0,0,4883,0,0,0,2810,0,0,0,166,0,0,0,0,0,0,0,40,0,0,0,8,0,0,0,0,0,0,0,4203,0,0,0,3712
Bandera County,0,300,11478,9881,31721,64844,107501,0,61,2351,2024,0,15,584,503,0,20,782,674,0,89,3414,2939,0,53,2048,1763,0,60,2298,1978,0,39,1486,1279,0,102,3903,3359,0,93,3574,3077,0,38,1449,1247,0,16,619,533,0,12,454,390,0,195,7478,6437,0,119,4541,3909,0,45,1726,1486,0,53,2011,1731,0,238,9117,7848,0,2,74,63,0,1,55,47,0,1,23,20,0,0,0,0,0,5,199,171,0,148,5666,4877,0,152,5813,5004
Bastrop County,0,31060,34348,19010,20853,45609,70053,0,8469,9366,5183,0,2209,2443,1352,0,3219,3560,1970,0,9527,10536,5831,0,4103,4537,2511,0,3533,3907,2162,0,3026,3347,1852,0,10632,11757,6507,0,9740,10771,5961,0,5144,5688,3148,0,1659,1834,1015,0,853,943,522,0,19223,21257,11765,0,9959,11013,6095,0,5927,6554,3627,0,10525,11639,6441,0,17345,19181,10616,0,2399,2653,1469,0,125,139,77,0,276,305,169,0,0,0,0,0,405,447,248,0,15702,17364,9610,0,15359,16984,9400
Baylor County,0,0,0,3610,169479,192686,213418,0,0,0,782,0,0,0,239,0,0,0,300,0,0,0,932,0,0,0,460,0,0,0,898,0,0,0,679,0,0,0,1672,0,0,0,787,0,0,0,199,0,0,0,76,0,0,0,199,0,0,0,2303,0,0,0,1278,0,0,0,664,0,0,0,303,0,0,0,3127,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0,0,0,1744,0,0,0,1867
Bee County,0,0,0,31275,82379,118908,154112,0,0,0,7206,0,0,0,3601,0,0,0,4643,0,0,0,9601,0,0,0,3090,0,0,0,3134,0,0,0,4443,0,0,0,10915,0,0,0,10683,0,0,0,2945,0,0,0,641,0,0,0,1681,0,0,0,17455,0,0,0,9661,0,0,0,6927,0,0,0,18366,0,0,0,9901,0,0,0,2560,0,0,0,269,0,0,0,86,0,0,0,0,0,0,0,89,0,0,0,19282,0,0,0,11993
Bell County,0,0,6956,349137,34921,59741,78974,0,0,2084,104607,0,0,944,47372,0,0,1032,51779,0,0,1763,88495,0,0,582,29232,0,0,551,27651,0,0,873,43836,0,0,2617,131354,0,0,2278,114327,0,0,761,38191,0,0,225,11281,0,0,200,10025,0,0,4859,243878,0,0,2082,104495,0,0,903,45332,0,0,1643,82465,0,0,3291,165201,0,0,1484,74508,0,0,27,1361,0,0,180,9054,0,0,54,2723,0,0,275,13810,0,0,3502,175790,0,0,3453,173347
Bexar County,1454678,421209,1603,0,478,16299,34191,413457,119718,456,0,163901,47458,181,0,193609,56060,213,0,400720,116030,442,0,141247,40899,156,0,141746,41043,156,0,201240,58270,222,0,510177,147724,562,0,450999,130589,497,0,180074,52141,198,0,58252,16867,64,0,52628,15239,58,0,889630,257597,980,0,462516,133924,510,0,241291,69867,266,0,862644,249783,951,0,411528,119160,453,0,112187,32484,124,0,2618,758,3,0,38563,11166,42,0,605,175,1,0,25296,7325,28,0,721176,208820,795,0,732412,212074,807,0
Blanco County,0,0,579,10944,38939,60724,81365,0,0,132,2489,0,0,32,609,0,0,44,825,0,0,165,3116,0,0,102,1932,0,0,104,1973,0,0,47,893,0,0,220,4155,0,0,177,3342,0,0,74,1397,0,0,33,614,0,0,29,548,0,0,383,7239,0,0,187,3525,0,0,104,1974,0,0,109,2056,0,0,452,8547,0,0,0,0,0,0,1,12,0,0,4,76,0,0,0,0,0,0,13,242,0,0,292,5514,0,0,287,5430
Borden County,0,0,0,645,349569,374702,398646,0,0,0,150,0,0,0,32,0,0,0,50,0,0,0,189,0,0,0,92,0,0,0,133,0,0,0,39,0,0,0,129,0,0,0,267,0,0,0,149,0,0,0,8,0,0,0,54,0,0,0,532,0,0,0,177,0,0,0,25,0,0,0,30,0,0,0,604,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,346,0,0,0,299
Bosque County,0,932,4688,12630,26451,59877,90492,0,218,1097,2955,0,56,280,754,0,77,385,1037,0,246,1238,3335,0,135,681,1835,0,200,1007,2714,0,103,519,1400,0,407,2044,5508,0,281,1415,3812,0,94,471,1269,0,17,87,235,0,29,147,397,0,551,2769,7461,0,347,1743,4695,0,196,983,2649,0,150,755,2035,0,747,3756,10119,0,12,62,167,0,3,17,45,0,4,20,53,0,0,0,0,0,16,79,214,0,458,2305,6210,0,474,2383,6421
Bowie County,0,0,0,95014,89219,121789,156053,0,0,0,23739,0,0,0,8501,0,0,0,11762,0,0,0,27095,0,0,0,11171,0,0,0,12746,0,0,0,16657,0,0,0,39078,0,0,0,26655,0,0,0,7350,0,0,0,2494,0,0,0,2809,0,0,0,55682,0,0,0,35209,0,0,0,16074,0,0,0,7762,0,0,0,59032,0,0,0,24359,0,0,0,741,0,0,0,767,0,0,0,5,0,0,0,2338,0,0,0,48271,0,0,0,46743
Brazoria County,8197,147923,53824,145752,15423,59981,99589,2355,42493,15462,41869,647,11680,4250,11508,1007,18175,6613,17908,2565,46294,16845,45614,867,15644,5692,15415,756,13638,4962,13438,708,12781,4651,12594,2098,37853,13774,37298,2628,47425,17256,46729,1494,26955,9808,26559,683,12328,4486,12147,584,10540,3835,10386,5745,103683,37727,102162,1853,33436,12166,32946,1262,22774,8287,22440,2474,44638,16242,43983,4173,75305,27401,74200,978,17647,6421,17388,23,413,150,406,430,7763,2825,7649,0,2,1,2,120,2173,791,2141,4158,75031,27301,73930,4039,72892,26523,71822
