county,total_0_to_10_mi,total_10_to_20_mi,total_20_to_30_mi,total_30_plus_mi,min_straight_line,avg_straight_line,max_straight_line,age_0_to_18_years_0_10_mi,age_0_to_18_years_10_20_mi,age_0_to_18_years_20_30_mi,age_0_to_18_years_30_plus_mi,age_19_to_25_years_0_10_mi,age_19_to_25_years_10_20_mi,age_19_to_25_years_20_30_mi,age_19_to_25_years_30_plus_mi,age_26_to_34_years_0_10_mi,age_26_to_34_years_10_20_mi,age_26_to_34_years_20_30_mi,age_26_to_34_years_30_plus_mi,age_35_to_54_years_0_10_mi,age_35_to_54_years_10_20_mi,age_35_to_54_years_20_30_mi,age_35_to_54_years_30_plus_mi,age_55_to_64_years_0_10_mi,age_55_to_64_years_10_20_mi,age_55_to_64_years_20_30_mi,age_55_to_64_years_30_plus_mi,age_65_plus_years_0_to_10_mi,age_65_plus_years_10_to_20_mi,age_65_plus_years_20_to_30_mi,age_65_plus_years_30_mi,income_0_to_15_k_0_10_mi,income_0_to_15_k_10_20_mi,income_0_to_15_k_20_30_mi,income_0_to_15_k_30_plus_mi,income_15_k_to_50_k_0_10_mi,income_15_k_to_50_k_10_20_mi,income_15_k_to_50_k_20_30_mi,income_15_k_to_50_k_30_plus_mi,income_50_k_to_100_k_0_10_mi,income_50_k_to_100_k_10_20_mi,income_50_k_to_100_k_20_30_mi,income_50_k_to_100_k_30_plus_mi,income_100_k_to_150_k_0_10_mi,income_100_k_to_150_k_10_20_mi,income_100_k_to_150_k_20_30_mi,income_100_k_to_150_k_30_plus_mi,income_150_k_to_200_k_0_10_mi,income_150_k_to_200_k_10_20_mi,income_150_k_to_200_k_20_30_mi,income_150_k_to_200_k_30_plus_mi,income_200_k_plus_0_to_10_mi,income_200_k_plus_10_to_20_mi,income_200_k_plus_20_to_30_mi,income_200_k_plus_30_mi,insurance_private_health_insurance_0_to_10_mi,insurance_private_health_insurance_10_to_20_mi,insurance_private_health_insurance_20_to_30_mi,insurance_private_health_insurance_30_plus_mi,insurance_public_health_insurance_0_to_10_mi,insurance_public_health_insurance_10_to_20_mi,insurance_public_health_insurance_20_to_30_mi,insurance_public_health_insurance_30_plus_mi,insurance_no_health_insurance_0_to_10_mi,insurance_no_health_insurance_10_to_20_mi,insurance_no_health_insurance_20_to_30_mi,insurance_no_health_insurance_30_plus_mi,race_hispanic_or_latino_any_race_0_to_10_mi,race_hispanic_or_latino_any_race_10_to_20_mi,race_hispanic_or_latino_any_race_20_to_30_mi,race_hispanic_or_latino_any_race_30_plus_mi,race_white_0_to_10_mi,race_white_10_to_20_mi,race_white_20_to_30_mi,race_white_30_plus_mi,race_black_0_to_10_mi,race_black_10_to_20_mi,race_black_20_to_30_mi,race_black_30_plus_mi,race_american_indian_alaska_native_0_to_10_mi,race_american_indian_alaska_native_10_to_20_mi,race_american_indian_alaska_native_20_to_30_mi,race_american_indian_alaska_native_30_plus_mi,race_asian_0_to_10_mi,race_asian_10_to_20_mi,race_asian_20_to_30_mi,race_asian_30_plus_mi,race_native_hawaiian_other_pacific_islander_0_to_10_mi,race_native_hawaiian_other_pacific_islander_10_to_20_mi,race_native_hawaiian_other_pacific_islander_20_to_30_mi,race_native_hawaiian_other_pacific_islander_30_plus_mi,race_multiracial_or_other_0_to_10_mi,race_multiracial_or_other_10_to_20_mi,race_multiracial_or_other_20_to_30_mi,race_multiracial_or_other_30_plus_mi,sex_male_0_to_10_mi,sex_male_10_to_20_mi,sex_male_20_to_30_mi,sex_male_30_plus_mi,sex_female_0_to_10_mi,sex_female_10_to_20_mi,sex_female_20_to_30_mi,sex_female_30_plus_mi
Alachua County,237657,27971,0,0,319,16570,31588,50799,5979,0,0,50404,5932,0,0,29232,3441,0,0,55354,6515,0,0,25845,3042,0,0,26024,3063,0,0,44314,5216,0,0,89063,10482,0,0,61250,7209,0,0,24354,2866,0,0,8946,1053,0,0,9740,1146,0,0,166475,19593,0,0,66570,7835,0,0,29350,3454,0,0,20927,2463,0,0,147122,17316,0,0,48750,5738,0,0,712,84,0,0,13679,1610,0,0,277,33,0,0,6196,729,0,0,113578,13368,0,0,124080,14604,0,0
Baker County,0,3002,22390,3502,27977,46156,63651,0,817,6094,953,0,272,2027,317,0,356,2655,415,0,883,6589,1031,0,345,2570,402,0,329,2456,384,0,326,2429,380,0,1062,7921,1239,0,1037,7737,1210,0,426,3177,497,0,77,578,90,0,74,551,86,0,1952,14556,2277,0,1016,7579,1185,0,370,2757,431,0,67,500,78,0,2487,18551,2902,0,395,2949,461,0,10,73,11,0,22,161,25,0,0,0,0,0,19,143,22,0,1551,11567,1809,0,1451,10823,1693
Bay County,164507,10128,4871,0,391,18355,45831,38132,2348,1129,0,15570,959,461,0,19185,1181,568,0,47707,2937,1413,0,20003,1231,592,0,23911,1472,708,0,22292,1372,660,0,64978,4000,1924,0,50376,3101,1492,0,18377,1131,544,0,4765,293,141,0,3686,227,109,0,98655,6074,2921,0,62132,3825,1840,0,27087,1668,802,0,10388,640,308,0,124242,7649,3679,0,18899,1164,560,0,1006,62,30,0,4273,263,127,0,108,7,3,0,5590,344,166,0,81282,5004,2407,0,83226,5124,2464,0
Bradford County,0,6999,24709,0,20515,32961,44356,0,1506,5317,0,0,630,2223,0,0,915,3231,0,0,2061,7278,0,0,855,3018,0,0,1032,3642,0,0,1572,5550,0,0,2396,8459,0,0,2092,7384,0,0,665,2347,0,0,181,639,0,0,96,340,0,0,3913,13813,0,0,2967,10475,0,0,1102,3889,0,0,251,886,0,0,5179,18282,0,0,1405,4959,0,0,6,22,0,0,42,147,0,0,2,7,0,0,118,416,0,0,3808,13443,0,0,3191,11266,0
Brevard County,562949,5878,0,0,268,10534,22827,117817,1230,0,0,43641,456,0,0,49469,517,0,0,163448,1707,0,0,77469,809,0,0,111104,1160,0,0,65483,684,0,0,212977,2224,0,0,174716,1824,0,0,64993,679,0,0,23857,249,0,0,20563,215,0,0,368191,3844,0,0,215894,2254,0,0,73767,770,0,0,51837,541,0,0,428278,4472,0,0,54722,571,0,0,1457,15,0,0,12039,126,0,0,388,4,0,0,13934,145,0,0,276223,2884,0,0,286500,2991,0,0
Broward County,1788301,0,0,0,1238,9255,15931,416836,0,0,0,149416,0,0,0,207578,0,0,0,548351,0,0,0,207127,0,0,0,258993,0,0,0,204876,0,0,0,630249,0,0,0,527510,0,0,0,233200,0,0,0,92224,0,0,0,99688,0,0,0,1066134,0,0,0,548369,0,0,0,315040,0,0,0,492669,0,0,0,707532,0,0,0,476128,0,0,0,2290,0,0,0,64220,0,0,0,800,0,0,0,44147,0,0,0,870692,0,0,0,917120,0,0,0
Calhoun County,0,8,1895,13257,31268,53058,73601,0,2,425,2971,0,1,163,1140,0,1,226,1580,0,2,564,3941,0,1,229,1605,0,1,289,2020,0,1,295,2065,0,4,942,6589,0,2,467,3267,0,1,153,1069,0,0,13,93,0,0,26,180,0,4,943,6593,0,4,839,5869,0,2,365,2556,0,0,103,723,0,6,1487,10399,0,1,231,1615,0,0,17,121,0,0,12,81,0,0,0,0,0,0,46,323,0,4,1023,7152,0,4,873,6105
Charlotte County,138507,31892,51,0,1081,17856,32947,20474,4714,8,0,6921,1594,3,0,8599,1980,3,0,30575,7040,11,0,23467,5403,9,0,48471,11161,18,0,16896,3891,6,0,59904,13793,22,0,42451,9775,16,0,13189,3037,5,0,3251,749,1,0,2808,646,1,0,85925,19785,32,0,71844,16543,26,0,19510,4492,7,0,8176,1883,3,0,118485,27282,44,0,7222,1663,3,0,152,35,0,0,1738,400,1,0,93,21,0,0,2621,604,1,0,66956,15417,25,0,71552,16475,26,0
Citrus County,1788,95165,59124,74,12624,29194,51838,301,16032,9960,12,97,5179,3218,4,111,5894,3662,5,422,22473,13962,17,296,15767,9796,12,560,29821,18527,23,288,15345,9533,12,813,43269,26882,33,493,26238,16301,20,130,6937,4310,5,32,1707,1061,1,31,1674,1040,1,1031,54857,34081,42,994,52896,32863,41,214,11401,7083,9,91,4869,3025,4,1590,84617,52571,66,51,2735,1699,2,6,298,185,0,27,1428,887,1,0,0,0,0,23,1231,765,1,874,46526,28905,36,914,48640,30219,38
Clay County,176341,28054,14993,0,8965,21161,40635,48760,7757,4146,0,14015,2230,1192,0,17911,2849,1523,0,54380,8651,4624,0,20778,3306,1767,0,20497,3261,1743,0,14859,2364,1263,0,57048,9076,4850,0,62732,9980,5334,0,27282,4340,2320,0,8941,1422,760,0,5384,857,458,0,124899,19870,10619,0,53718,8546,4567,0,20872,3320,1775,0,15967,2540,1358,0,131941,20990,11218,0,16555,2634,1408,0,304,48,26,0,5672,902,482,0,164,26,14,0,5756,916,489,0,86739,13799,7375,0,89601,14254,7618,0
