county,total_0_to_30_min,total_30_to_45_min,total_45_to_60_min,total_60_plus_min,min_driving_time,avg_driving_time,max_driving_time,age_0_to_18_years_0_30_min,age_0_to_18_years_30_45_min,age_0_to_18_years_45_60_min,age_0_to_18_years_60_plus_min,age_19_to_25_years_0_30_min,age_19_to_25_years_30_45_min,age_19_to_25_years_45_60_min,age_19_to_25_years_60_plus_min,age_26_to_34_years_0_30_min,age_26_to_34_years_30_45_min,age_26_to_34_years_45_60_min,age_26_to_34_years_60_plus_min,age_35_to_54_years_0_30_min,age_35_to_54_years_30_45_min,age_35_to_54_years_45_60_min,age_35_to_54_years_60_plus_min,age_55_to_64_years_0_30_min,age_55_to_64_years_30_45_min,age_55_to_64_years_45_60_min,age_55_to_64_years_60_plus_min,age_65_plus_years_0_to_30_min,age_65_plus_years_30_to_45_min,age_65_plus_years_45_to_60_min,age_65_plus_years_60_min,income_0_to_15_k_0_30_min,income_0_to_15_k_30_45_min,income_0_to_15_k_45_60_min,income_0_to_15_k_60_plus_min,income_15_k_to_50_k_0_30_min,income_15_k_to_50_k_30_45_min,income_15_k_to_50_k_45_60_min,income_15_k_to_50_k_60_plus_min,income_50_k_to_100_k_0_30_min,income_50_k_to_100_k_30_45_min,income_50_k_to_100_k_45_60_min,income_50_k_to_100_k_60_plus_min,income_100_k_to_150_k_0_30_min,income_100_k_to_150_k_30_45_min,income_100_k_to_150_k_45_60_min,income_100_k_to_150_k_60_plus_min,income_150_k_to_200_k_0_30_min,income_150_k_to_200_k_30_45_min,income_150_k_to_200_k_45_60_min,income_150_k_to_200_k_60_plus_min,income_200_k_plus_0_to_30_min,income_200_k_plus_30_to_45_min,income_200_k_plus_45_to_60_min,income_200_k_plus_60_min,insurance_private_health_insurance_0_to_30_min,insurance_private_health_insurance_30_to_45_min,insurance_private_health_insurance_45_to_60_min,insurance_private_health_insurance_60_plus_min,insurance_public_health_insurance_0_to_30_min,insurance_public_health_insurance_30_to_45_min,insurance_public_health_insurance_45_to_60_min,insurance_public_health_insurance_60_plus_min,insurance_no_health_insurance_0_to_30_min,insurance_no_health_insurance_30_to_45_min,insurance_no_health_insurance_45_to_60_min,insurance_no_health_insurance_60_plus_min,race_hispanic_or_latino_any_race_0_to_30_min,race_hispanic_or_latino_any_race_30_to_45_min,race_hispanic_or_latino_any_race_45_to_60_min,race_hispanic_or_latino_any_race_60_plus_min,race_white_0_to_30_min,race_white_30_to_45_min,race_white_45_to_60_min,race_white_60_plus_min,race_black_0_to_30_min,race_black_30_to_45_min,race_black_45_to_60_min,race_black_60_plus_min,race_american_indian_alaska_native_0_to_30_min,race_american_indian_alaska_native_30_to_45_min,race_american_indian_alaska_native_45_to_60_min,race_american_indian_alaska_native_60_plus_min,race_asian_0_to_30_min,race_asian_30_to_45_min,race_asian_45_to_60_min,race_asian_60_plus_min,race_native_hawaiian_other_pacific_islander_0_to_30_min,race_native_hawaiian_other_pacific_islander_30_to_45_min,race_native_hawaiian_other_pacific_islander_45_to_60_min,race_native_hawaiian_other_pacific_islander_60_plus_min,race_multiracial_or_other_0_to_30_min,race_multiracial_or_other_30_to_45_min,race_multiracial_or_other_45_to_60_min,race_multiracial_or_other_60_plus_min,sex_male_0_to_30_min,sex_male_30_to_45_min,sex_male_45_to_60_min,sex_male_60_plus_min,sex_female_0_to_30_min,sex_female_30_to_45_min,sex_female_45_to_60_min,sex_female_60_plus_min
Alachua County,264399,848,382,0,0,15,48,56515,181,82,0,56075,180,81,0,32522,104,47,0,61583,198,89,0,28753,92,42,0,28952,93,42,0,49300,158,71,0,99084,318,143,0,68141,219,98,0,27095,87,39,0,9953,32,14,0,10835,35,16,0,185207,594,267,0,74060,238,107,0,32652,105,47,0,23282,75,34,0,163676,525,236,0,54236,174,78,0,792,3,1,0,15218,49,22,0,308,1,0,0,6893,22,10,0,126358,405,182,0,138041,443,199,0
Baker County,2453,23053,2311,1076,21,45,76,668,6275,629,293,222,2087,209,97,291,2733,274,128,722,6784,680,317,282,2646,265,124,269,2529,254,118,266,2501,251,117,868,8155,818,381,848,7966,799,372,348,3271,328,153,63,595,60,28,60,567,57,26,1595,14988,1503,700,830,7803,782,364,302,2839,285,133,55,515,52,24,2033,19101,1915,892,323,3036,304,142,8,75,8,4,18,166,17,8,0,0,0,0,16,147,15,7,1267,11910,1194,556,1186,11143,1117,520
Bay County,171462,7838,207,0,0,18,49,39744,1817,48,0,16228,742,20,0,19996,914,24,0,49724,2273,60,0,20848,953,25,0,24922,1139,30,0,23234,1062,28,0,67725,3096,82,0,52506,2400,63,0,19154,876,23,0,4967,227,6,0,3842,176,5,0,102825,4700,124,0,64759,2960,78,0,28233,1291,34,0,10827,495,13,0,129495,5919,156,0,19698,900,24,0,1048,48,1,0,4453,204,5,0,113,5,0,0,5827,266,7,0,84718,3873,102,0,86744,3965,105,0
Bradford County,31687,15,7,0,0,12,48,6819,3,1,0,2851,1,1,0,4144,2,1,0,9333,4,2,0,3870,2,1,0,4670,2,1,0,7117,3,2,0,10847,5,2,0,9469,4,2,0,3010,1,1,0,819,0,0,0,436,0,0,0,17714,8,4,0,13433,6,3,0,4988,2,1,0,1136,1,0,0,23445,11,5,0,6360,3,1,0,29,0,0,0,189,0,0,0,9,0,0,0,534,0,0,0,17239,8,4,0,14448,7,3,0
Brevard County,564337,4467,21,2,0,13,117,118108,935,4,1,43749,346,2,0,49591,393,2,0,163851,1297,6,1,77660,615,3,0,111378,882,4,0,65645,520,2,0,213502,1690,8,1,175147,1386,7,1,65153,516,2,0,23916,189,1,0,20614,163,1,0,369099,2921,14,2,216426,1713,8,1,73949,585,3,0,51965,411,2,0,429333,3398,16,2,54857,434,2,0,1461,12,0,0,12068,96,0,0,389,3,0,0,13969,111,1,0,276904,2192,10,1,287206,2273,11,1
Broward County,1786137,2164,0,0,0,8,34,416332,504,0,0,149235,181,0,0,207327,251,0,0,547687,664,0,0,206877,251,0,0,258680,313,0,0,204628,248,0,0,629486,763,0,0,526871,638,0,0,232918,282,0,0,92112,112,0,0,99567,121,0,0,1064843,1290,0,0,547706,664,0,0,314659,381,0,0,492073,596,0,0,706676,856,0,0,475551,576,0,0,2287,3,0,0,64142,78,0,0,799,1,0,0,44094,53,0,0,869639,1054,0,0,916010,1110,0,0
Calhoun County,14242,918,0,0,0,20,41,3192,206,0,0,1225,79,0,0,1697,109,0,0,4234,273,0,0,1724,111,0,0,2171,140,0,0,2218,143,0,0,7078,456,0,0,3510,226,0,0,1148,74,0,0,100,6,0,0,194,12,0,0,7083,457,0,0,6305,406,0,0,2746,177,0,0,777,50,0,0,11172,720,0,0,1736,112,0,0,130,8,0,0,87,6,0,0,0,0,0,0,347,22,0,0,7684,495,0,0,6559,423,0,0
Charlotte County,168823,1477,62,89,0,24,111,24956,218,9,13,8436,74,3,4,10481,92,4,6,37267,326,14,20,28603,250,10,15,59080,517,22,31,20595,180,8,11,73016,639,27,38,51743,453,19,27,16075,141,6,8,3962,35,1,2,3422,30,1,2,104732,916,38,55,87569,766,32,46,23780,208,9,13,9965,87,4,5,144419,1263,53,76,8803,77,3,5,185,2,0,0,2118,19,1,1,113,1,0,0,3195,28,1,2,81611,714,30,43,87212,763,32,46
Citrus County,150657,5494,0,0,0,16,45,25380,926,0,0,8199,299,0,0,9331,340,0,0,35577,1297,0,0,24961,910,0,0,47209,1722,0,0,24292,886,0,0,68499,2498,0,0,41537,1515,0,0,10982,400,0,0,2703,99,0,0,2650,97,0,0,86844,3167,0,0,83740,3054,0,0,18050,658,0,0,7708,281,0,0,133958,4885,0,0,4329,158,0,0,472,17,0,0,2261,82,0,0,0,0,0,0,1948,71,0,0,73655,2686,0,0,77002,2808,0,0
Clay County,209478,9909,0,0,0,17,45,57923,2740,0,0,16648,788,0,0,21276,1006,0,0,64599,3056,0,0,24683,1168,0,0,24349,1152,0,0,17651,835,0,0,67768,3206,0,0,74520,3525,0,0,32409,1533,0,0,10621,502,0,0,6396,303,0,0,148370,7018,0,0,63812,3019,0,0,24794,1173,0,0,18968,897,0,0,156735,7414,0,0,19666,930,0,0,361,17,0,0,6738,319,0,0,195,9,0,0,6838,323,0,0,103039,4874,0,0,106439,5035,0,0
Collier County,358163,5801,739,19,0,23,92,72231,1170,149,4,23737,384,49,1,31006,502,64,2,88598,1435,183,5,47857,775,99,3,94735,1534,195,5,29050,471,60,2,122829,1989,253,7,114408,1853,236,6,45326,734,93,2,18156,294,37,1,28474,461,59,2,219191,3550,452,12,149497,2421,308,8,63980,1036,132,3,87953,1425,181,5,237709,3850,490,13,23277,377,48,1,1028,17,2,0,5469,89,11,0,0,0,0,0,2687,44,6,0,176310,2856,364,9,181853,2945,375,10
Columbia County,73094,252,0,0,1,17,43,17353,60,0,0,6923,24,0,0,7839,27,0,0,20181,70,0,0,9466,33,0,0,11333,39,0,0,11109,38,0,0,30268,104,0,0,21240,73,0,0,6987,24,0,0,1925,7,0,0,1561,5,0,0,40076,138,0,0,32007,110,0,0,10599,37,0,0,4018,14,0,0,53513,184,0,0,12962,45,0,0,78,0,0,0,654,2,0,0,29,0,0,0,1855,6,0,0,37271,128,0,0,35823,123,0,0
DeSoto County,35091,475,8,9,0,21,93,8105,110,2,2,3568,48,1,1,4002,54,1,1,8525,115,2,2,3996,54,1,1,6895,93,2,2,4810,65,1,1,18072,245,4,5,9684,131,2,3,1648,22,0,0,532,7,0,0,337,5,0,0,14574,197,3,4,17528,237,4,5,8356,113,2,2,10925,148,3,3,20648,280,5,5,3061,41,1,1,78,1,0,0,80,1,0,0,39,1,0,0,264,4,0,0,19680,266,5,5,15411,209,4,4
Dixie County,17026,334,416,0,1,20,55,3421,67,84,0,1249,24,31,0,1690,33,41,0,4779,94,117,0,2625,51,64,0,3262,64,80,0,3347,66,82,0,8824,173,216,0,3594,70,88,0,752,15,18,0,287,6,7,0,219,4,5,0,7428,146,182,0,8708,171,213,0,3028,59,74,0,625,12,15,0,14589,286,357,0,1185,23,29,0,65,1,2,0,67,1,2,0,0,0,0,0,484,9,12,0,9253,181,226,0,7774,152,190,0
Duval County,898810,2802,0,0,0,15,44,220504,687,0,0,96858,302,0,0,114850,358,0,0,261697,816,0,0,103379,322,0,0,101523,316,0,0,124020,387,0,0,335287,1045,0,0,269106,839,0,0,97930,305,0,0,36473,114,0,0,35980,112,0,0,573282,1787,0,0,300470,937,0,0,124519,388,0,0,74800,233,0,0,490604,1529,0,0,267823,835,0,0,1824,6,0,0,37927,118,0,0,622,2,0,0,25345,79,0,0,435760,1358,0,0,463050,1443,0,0
Escambia County,307603,2573,114,0,0,16,57,71188,595,26,0,36483,305,13,0,34340,287,13,0,82511,690,30,0,38040,318,14,0,45042,377,17,0,37336,312,14,0,131400,1099,49,0,97758,818,36,0,27911,233,10,0,6988,58,3,0,6185,52,2,0,202625,1695,75,0,111668,934,41,0,40258,337,15,0,15117,126,6,0,197026,1648,73,0,72935,610,27,0,1195,10,0,0,8123,68,3,0,121,1,0,0,13102,110,5,0,151331,1266,56,0,156271,1307,58,0
