county,total_0_to_10_mi,total_10_to_20_mi,total_20_to_30_mi,total_30_plus_mi,min_straight_line,avg_straight_line,max_straight_line,age_0_to_18_years_0_10_mi,age_0_to_18_years_10_20_mi,age_0_to_18_years_20_30_mi,age_0_to_18_years_30_plus_mi,age_19_to_25_years_0_10_mi,age_19_to_25_years_10_20_mi,age_19_to_25_years_20_30_mi,age_19_to_25_years_30_plus_mi,age_26_to_34_years_0_10_mi,age_26_to_34_years_10_20_mi,age_26_to_34_years_20_30_mi,age_26_to_34_years_30_plus_mi,age_35_to_54_years_0_10_mi,age_35_to_54_years_10_20_mi,age_35_to_54_years_20_30_mi,age_35_to_54_years_30_plus_mi,age_55_to_64_years_0_10_mi,age_55_to_64_years_10_20_mi,age_55_to_64_years_20_30_mi,age_55_to_64_years_30_plus_mi,age_65_plus_years_0_to_10_mi,age_65_plus_years_10_to_20_mi,age_65_plus_years_20_to_30_mi,age_65_plus_years_30_mi,income_0_to_15_k_0_10_mi,income_0_to_15_k_10_20_mi,income_0_to_15_k_20_30_mi,income_0_to_15_k_30_plus_mi,income_15_k_to_50_k_0_10_mi,income_15_k_to_50_k_10_20_mi,income_15_k_to_50_k_20_30_mi,income_15_k_to_50_k_30_plus_mi,income_50_k_to_100_k_0_10_mi,income_50_k_to_100_k_10_20_mi,income_50_k_to_100_k_20_30_mi,income_50_k_to_100_k_30_plus_mi,income_100_k_to_150_k_0_10_mi,income_100_k_to_150_k_10_20_mi,income_100_k_to_150_k_20_30_mi,income_100_k_to_150_k_30_plus_mi,income_150_k_to_200_k_0_10_mi,income_150_k_to_200_k_10_20_mi,income_150_k_to_200_k_20_30_mi,income_150_k_to_200_k_30_plus_mi,income_200_k_plus_0_to_10_mi,income_200_k_plus_10_to_20_mi,income_200_k_plus_20_to_30_mi,income_200_k_plus_30_mi,insurance_private_health_insurance_0_to_10_mi,insurance_private_health_insurance_10_to_20_mi,insurance_private_health_insurance_20_to_30_mi,insurance_private_health_insurance_30_plus_mi,insurance_public_health_insurance_0_to_10_mi,insurance_public_health_insurance_10_to_20_mi,insurance_public_health_insurance_20_to_30_mi,insurance_public_health_insurance_30_plus_mi,insurance_no_health_insurance_0_to_10_mi,insurance_no_health_insurance_10_to_20_mi,insurance_no_health_insurance_20_to_30_mi,insurance_no_health_insurance_30_plus_mi,race_hispanic_or_latino_any_race_0_to_10_mi,race_hispanic_or_latino_any_race_10_to_20_mi,race_hispanic_or_latino_any_race_20_to_30_mi,race_hispanic_or_latino_any_race_30_plus_mi,race_white_0_to_10_mi,race_white_10_to_20_mi,race_white_20_to_30_mi,race_white_30_plus_mi,race_black_0_to_10_mi,race_black_10_to_20_mi,race_black_20_to_30_mi,race_black_30_plus_mi,race_american_indian_alaska_native_0_to_10_mi,race_american_indian_alaska_native_10_to_20_mi,race_american_indian_alaska_native_20_to_30_mi,race_american_indian_alaska_native_30_plus_mi,race_asian_0_to_10_mi,race_asian_10_to_20_mi,race_asian_20_to_30_mi,race_asian_30_plus_mi,race_native_hawaiian_other_pacific_islander_0_to_10_mi,race_native_hawaiian_other_pacific_islander_10_to_20_mi,race_native_hawaiian_other_pacific_islander_20_to_30_mi,race_native_hawaiian_other_pacific_islander_30_plus_mi,race_multiracial_or_other_0_to_10_mi,race_multiracial_or_other_10_to_20_mi,race_multiracial_or_other_20_to_30_mi,race_multiracial_or_other_30_plus_mi,sex_male_0_to_10_mi,sex_male_10_to_20_mi,sex_male_20_to_30_mi,sex_male_30_plus_mi,sex_female_0_to_10_mi,sex_female_10_to_20_mi,sex_female_20_to_30_mi,sex_female_30_plus_mi
Alachua County,256240,9389,0,0,998,11693,20554,54771,2007,0,0,54345,1991,0,0,31518,1155,0,0,59683,2187,0,0,27865,1021,0,0,28058,1028,0,0,47779,1751,0,0,96026,3519,0,0,66039,2420,0,0,26258,962,0,0,9645,353,0,0,10501,385,0,0,179491,6577,0,0,71775,2630,0,0,31644,1159,0,0,22563,827,0,0,158625,5812,0,0,52562,1926,0,0,768,28,0,0,14749,540,0,0,298,11,0,0,6680,245,0,0,122458,4487,0,0,133781,4902,0,0
Baker County,211,8920,19517,246,14714,33703,53785,58,2428,5312,67,19,807,1767,22,25,1058,2314,29,62,2625,5743,72,24,1024,2240,28,23,978,2141,27,23,968,2117,27,75,3155,6904,87,73,3082,6744,85,30,1266,2770,35,5,230,504,6,5,219,480,6,137,5799,12689,160,72,3019,6606,83,26,1098,2404,30,5,199,436,5,175,7391,16171,204,28,1175,2571,32,1,29,64,1,2,64,141,2,0,0,0,0,1,57,124,2,109,4608,10083,127,102,4312,9434,119
Bay County,158464,21043,0,0,580,12709,25471,36731,4878,0,0,14998,1992,0,0,18480,2454,0,0,45955,6102,0,0,19268,2559,0,0,23033,3059,0,0,21473,2851,0,0,62591,8312,0,0,48526,6444,0,0,17702,2351,0,0,4590,610,0,0,3550,471,0,0,95030,12619,0,0,59850,7948,0,0,26092,3465,0,0,10006,1329,0,0,119678,15892,0,0,18205,2417,0,0,969,129,0,0,4116,547,0,0,104,14,0,0,5385,715,0,0,78296,10397,0,0,80168,10646,0,0
Bradford County,31570,138,0,0,751,10132,20411,6794,30,0,0,2840,12,0,0,4129,18,0,0,9299,41,0,0,3856,17,0,0,4653,20,0,0,7091,31,0,0,10807,47,0,0,9434,41,0,0,2999,13,0,0,816,4,0,0,435,2,0,0,17649,77,0,0,13384,59,0,0,4969,22,0,0,1132,5,0,0,23359,102,0,0,6337,28,0,0,29,0,0,0,188,1,0,0,9,0,0,0,532,2,0,0,17176,75,0,0,14394,63,0,0
Brevard County,567768,1059,0,0,469,10291,22563,118826,222,0,0,44015,82,0,0,49892,93,0,0,164847,308,0,0,78132,146,0,0,112055,209,0,0,66044,123,0,0,214801,401,0,0,176211,329,0,0,65549,122,0,0,24061,45,0,0,20739,39,0,0,371343,693,0,0,217742,406,0,0,74399,139,0,0,52281,98,0,0,431944,806,0,0,55190,103,0,0,1469,3,0,0,12142,23,0,0,391,1,0,0,14053,26,0,0,278587,520,0,0,288952,539,0,0
Broward County,1744762,43540,0,0,630,11663,22012,406687,10149,0,0,145778,3638,0,0,202524,5054,0,0,535000,13351,0,0,202084,5043,0,0,252687,6306,0,0,199888,4988,0,0,614905,15345,0,0,514666,12843,0,0,227522,5678,0,0,89979,2245,0,0,97261,2427,0,0,1040176,25957,0,0,535018,13351,0,0,307370,7670,0,0,480674,11995,0,0,690306,17226,0,0,464535,11592,0,0,2234,56,0,0,62657,1564,0,0,780,19,0,0,43073,1075,0,0,849494,21199,0,0,894791,22329,0,0
Calhoun County,11449,3711,0,0,6543,15837,24722,2566,832,0,0,985,319,0,0,1364,442,0,0,3404,1103,0,0,1386,449,0,0,1745,566,0,0,1783,578,0,0,5690,1844,0,0,2821,914,0,0,923,299,0,0,80,26,0,0,156,51,0,0,5694,1845,0,0,5069,1643,0,0,2208,715,0,0,625,202,0,0,8981,2911,0,0,1395,452,0,0,105,34,0,0,70,23,0,0,0,0,0,0,279,90,0,0,6177,2002,0,0,5273,1709,0,0
Charlotte County,165606,4768,76,0,779,16373,33607,24480,705,11,0,8275,238,4,0,10281,296,5,0,36557,1053,17,0,28058,808,13,0,57954,1669,27,0,20202,582,9,0,71624,2062,33,0,50757,1461,23,0,15769,454,7,0,3887,112,2,0,3357,97,2,0,102736,2958,47,0,85900,2473,40,0,23326,672,11,0,9775,281,5,0,141667,4079,65,0,8635,249,4,0,182,5,0,0,2078,60,1,0,111,3,0,0,3134,90,1,0,80056,2305,37,0,85550,2463,39,0
Citrus County,147483,8668,0,0,81,11636,27533,24846,1460,0,0,8026,472,0,0,9135,537,0,0,34827,2047,0,0,24435,1436,0,0,46215,2716,0,0,23781,1398,0,0,67056,3941,0,0,40663,2390,0,0,10750,632,0,0,2646,156,0,0,2595,152,0,0,85015,4996,0,0,81976,4818,0,0,17669,1038,0,0,7546,443,0,0,131136,7707,0,0,4238,249,0,0,462,27,0,0,2213,130,0,0,0,0,0,0,1907,112,0,0,72104,4237,0,0,75380,4430,0,0
Clay County,195019,24368,0,0,500,12224,25232,53924,6738,0,0,15499,1937,0,0,19808,2475,0,0,60140,7515,0,0,22979,2871,0,0,22668,2833,0,0,16433,2053,0,0,63090,7883,0,0,69376,8669,0,0,30172,3770,0,0,9887,1235,0,0,5955,744,0,0,138129,17260,0,0,59407,7423,0,0,23082,2884,0,0,17658,2206,0,0,145916,18233,0,0,18309,2288,0,0,336,42,0,0,6273,784,0,0,182,23,0,0,6366,795,0,0,95927,11986,0,0,99092,12382,0,0
