county,total_0_to_30_min,total_30_to_45_min,total_45_to_60_min,total_60_plus_min,min_driving_time,avg_driving_time,max_driving_time,age_0_to_18_years_0_30_min,age_0_to_18_years_30_45_min,age_0_to_18_years_45_60_min,age_0_to_18_years_60_plus_min,age_19_to_25_years_0_30_min,age_19_to_25_years_30_45_min,age_19_to_25_years_45_60_min,age_19_to_25_years_60_plus_min,age_26_to_34_years_0_30_min,age_26_to_34_years_30_45_min,age_26_to_34_years_45_60_min,age_26_to_34_years_60_plus_min,age_35_to_54_years_0_30_min,age_35_to_54_years_30_45_min,age_35_to_54_years_45_60_min,age_35_to_54_years_60_plus_min,age_55_to_64_years_0_30_min,age_55_to_64_years_30_45_min,age_55_to_64_years_45_60_min,age_55_to_64_years_60_plus_min,age_65_plus_years_0_to_30_min,age_65_plus_years_30_to_45_min,age_65_plus_years_45_to_60_min,age_65_plus_years_60_min,income_0_to_15_k_0_30_min,income_0_to_15_k_30_45_min,income_0_to_15_k_45_60_min,income_0_to_15_k_60_plus_min,income_15_k_to_50_k_0_30_min,income_15_k_to_50_k_30_45_min,income_15_k_to_50_k_45_60_min,income_15_k_to_50_k_60_plus_min,income_50_k_to_100_k_0_30_min,income_50_k_to_100_k_30_45_min,income_50_k_to_100_k_45_60_min,income_50_k_to_100_k_60_plus_min,income_100_k_to_150_k_0_30_min,income_100_k_to_150_k_30_45_min,income_100_k_to_150_k_45_60_min,income_100_k_to_150_k_60_plus_min,income_150_k_to_200_k_0_30_min,income_150_k_to_200_k_30_45_min,income_150_k_to_200_k_45_60_min,income_150_k_to_200_k_60_plus_min,income_200_k_plus_0_to_30_min,income_200_k_plus_30_to_45_min,income_200_k_plus_45_to_60_min,income_200_k_plus_60_min,insurance_private_health_insurance_0_to_30_min,insurance_private_health_insurance_30_to_45_min,insurance_private_health_insurance_45_to_60_min,insurance_private_health_insurance_60_plus_min,insurance_public_health_insurance_0_to_30_min,insurance_public_health_insurance_30_to_45_min,insurance_public_health_insurance_45_to_60_min,insurance_public_health_insurance_60_plus_min,insurance_no_health_insurance_0_to_30_min,insurance_no_health_insurance_30_to_45_min,insurance_no_health_insurance_45_to_60_min,insurance_no_health_insurance_60_plus_min,race_hispanic_or_latino_any_race_0_to_30_min,race_hispanic_or_latino_any_race_30_to_45_min,race_hispanic_or_latino_any_race_45_to_60_min,race_hispanic_or_latino_any_race_60_plus_min,race_white_0_to_30_min,race_white_30_to_45_min,race_white_45_to_60_min,race_white_60_plus_min,race_black_0_to_30_min,race_black_30_to_45_min,race_black_45_to_60_min,race_black_60_plus_min,race_american_indian_alaska_native_0_to_30_min,race_american_indian_alaska_native_30_to_45_min,race_american_indian_alaska_native_45_to_60_min,race_american_indian_alaska_native_60_plus_min,race_asian_0_to_30_min,race_asian_30_to_45_min,race_asian_45_to_60_min,race_asian_60_plus_min,race_native_hawaiian_other_pacific_islander_0_to_30_min,race_native_hawaiian_other_pacific_islander_30_to_45_min,race_native_hawaiian_other_pacific_islander_45_to_60_min,race_native_hawaiian_other_pacific_islander_60_plus_min,race_multiracial_or_other_0_to_30_min,race_multiracial_or_other_30_to_45_min,race_multiracial_or_other_45_to_60_min,race_multiracial_or_other_60_plus_min,sex_male_0_to_30_min,sex_male_30_to_45_min,sex_male_45_to_60_min,sex_male_60_plus_min,sex_female_0_to_30_min,sex_female_30_to_45_min,sex_female_45_to_60_min,sex_female_60_plus_min
Adams County,30285,506,28,1,0,18,99,6365,106,6,0,1991,33,2,0,2293,38,2,0,6151,103,6,0,3269,55,3,0,3898,65,4,0,7754,129,7,0,13180,220,12,0,6020,101,6,0,2332,39,2,0,412,7,0,0,586,10,1,0,14350,240,13,0,14329,239,13,0,5010,84,5,0,2088,35,2,0,10335,173,10,0,17493,292,16,1,13,0,0,0,43,1,0,0,0,0,0,0,314,5,0,0,15154,253,14,0,15131,253,14,0
Alcorn County,36402,1774,0,0,0,20,42,9116,444,0,0,2843,139,0,0,3994,195,0,0,10154,495,0,0,4498,219,0,0,5796,282,0,0,6814,332,0,0,16594,809,0,0,8901,434,0,0,2983,145,0,0,598,29,0,0,504,25,0,0,20147,982,0,0,15269,744,0,0,5837,284,0,0,1288,63,0,0,30316,1477,0,0,4033,197,0,0,75,4,0,0,115,6,0,0,0,0,0,0,593,29,0,0,18087,881,0,0,18316,892,0,0
Amite County,10253,3428,104,0,0,26,49,2422,810,24,0,752,251,8,0,953,319,10,0,2819,943,28,0,1465,490,15,0,1842,616,19,0,2791,933,28,0,4572,1529,46,0,1977,661,20,0,567,190,6,0,245,82,2,0,96,32,1,0,4938,1651,50,0,4882,1632,49,0,1516,507,15,0,26,9,0,0,5821,1946,59,0,4371,1461,44,0,0,0,0,0,19,6,0,0,0,0,0,0,23,8,0,0,5106,1707,52,0,5147,1721,52,0
Attala County,6463,10824,2254,84,3,38,65,1731,2899,604,22,496,831,173,6,620,1038,216,8,1697,2843,592,22,815,1364,284,11,1104,1850,385,14,1596,2673,557,21,2675,4481,933,35,1586,2657,553,21,357,599,125,5,110,184,38,1,141,236,49,2,3557,5957,1240,46,3012,5044,1050,39,822,1377,287,11,137,229,48,2,3543,5934,1236,46,2690,4506,938,35,1,2,0,0,19,31,6,0,0,0,0,0,73,122,25,1,3072,5144,1071,40,3392,5680,1183,44
Benton County,8119,399,0,0,1,21,45,2114,104,0,0,641,31,0,0,861,42,0,0,2294,113,0,0,982,48,0,0,1227,60,0,0,1699,83,0,0,3631,178,0,0,1803,88,0,0,825,41,0,0,40,2,0,0,115,6,0,0,4544,223,0,0,3234,159,0,0,1469,72,0,0,185,9,0,0,5011,246,0,0,2879,141,0,0,31,2,0,0,0,0,0,0,0,0,0,0,16,1,0,0,4045,199,0,0,4074,200,0,0
Bolivar County,27430,3690,67,25,0,25,117,7364,991,18,7,3321,447,8,3,3149,424,8,3,6928,932,17,6,3404,458,8,3,3265,439,8,3,8235,1108,20,8,11914,1603,29,11,5246,706,13,5,1278,172,3,1,439,59,1,0,311,42,1,0,11309,1521,28,10,13289,1788,33,12,4896,659,12,5,527,71,1,0,8006,1077,20,7,18551,2495,46,17,57,8,0,0,231,31,1,0,0,0,0,0,58,8,0,0,12775,1718,31,12,14656,1971,36,14
Calhoun County,13398,1730,80,0,0,23,52,3456,446,21,0,1032,133,6,0,1362,176,8,0,3673,474,22,0,1682,217,10,0,2193,283,13,0,3103,401,19,0,5977,772,36,0,3450,445,21,0,669,86,4,0,144,19,1,0,50,6,0,0,6915,893,41,0,6125,791,37,0,1923,248,11,0,761,98,5,0,8944,1155,53,0,3450,445,21,0,0,0,0,0,3,0,0,0,67,9,0,0,181,23,1,0,6434,831,38,0,6964,899,42,0
Carroll County,7485,3081,84,0,4,27,47,1694,697,19,0,550,226,6,0,738,304,8,0,2134,879,24,0,1097,452,12,0,1272,524,14,0,1447,596,16,0,2702,1112,30,0,2328,958,26,0,575,237,6,0,186,76,2,0,240,99,3,0,4197,1727,47,0,3434,1414,39,0,885,364,10,0,41,17,0,0,4766,1962,54,0,2569,1057,29,0,16,7,0,0,36,15,0,0,0,0,0,0,61,25,1,0,3806,1567,43,0,3679,1514,42,0
Chickasaw County,12486,3887,60,0,0,27,52,3429,1068,17,0,1077,335,5,0,1304,406,6,0,3359,1046,16,0,1528,476,7,0,1788,557,9,0,2963,923,14,0,5814,1810,28,0,2681,835,13,0,596,186,3,0,224,70,1,0,211,66,1,0,6774,2109,33,0,5736,1786,28,0,1893,589,9,0,520,162,3,0,6328,1970,31,0,5470,1703,26,0,6,2,0,0,63,20,0,0,0,0,0,0,92,29,0,0,6052,1884,29,0,6434,2003,31,0
Choctaw County,621,5413,1979,0,19,42,57,158,1373,502,0,44,386,141,0,57,497,182,0,169,1475,539,0,87,759,277,0,106,922,337,0,160,1396,510,0,240,2088,763,0,165,1437,525,0,45,390,142,0,11,96,35,0,1,6,2,0,324,2824,1032,0,286,2488,910,0,75,652,238,0,2,13,5,0,425,3703,1354,0,189,1651,604,0,2,15,5,0,1,5,2,0,1,6,2,0,2,19,7,0,299,2603,952,0,322,2809,1027,0
