county,total_0_to_10_mi,total_10_to_20_mi,total_20_to_30_mi,total_30_plus_mi,min_straight_line,avg_straight_line,max_straight_line,age_0_to_18_years_0_10_mi,age_0_to_18_years_10_20_mi,age_0_to_18_years_20_30_mi,age_0_to_18_years_30_plus_mi,age_19_to_25_years_0_10_mi,age_19_to_25_years_10_20_mi,age_19_to_25_years_20_30_mi,age_19_to_25_years_30_plus_mi,age_26_to_34_years_0_10_mi,age_26_to_34_years_10_20_mi,age_26_to_34_years_20_30_mi,age_26_to_34_years_30_plus_mi,age_35_to_54_years_0_10_mi,age_35_to_54_years_10_20_mi,age_35_to_54_years_20_30_mi,age_35_to_54_years_30_plus_mi,age_55_to_64_years_0_10_mi,age_55_to_64_years_10_20_mi,age_55_to_64_years_20_30_mi,age_55_to_64_years_30_plus_mi,age_65_plus_years_0_to_10_mi,age_65_plus_years_10_to_20_mi,age_65_plus_years_20_to_30_mi,age_65_plus_years_30_mi,income_0_to_15_k_0_10_mi,income_0_to_15_k_10_20_mi,income_0_to_15_k_20_30_mi,income_0_to_15_k_30_plus_mi,income_15_k_to_50_k_0_10_mi,income_15_k_to_50_k_10_20_mi,income_15_k_to_50_k_20_30_mi,income_15_k_to_50_k_30_plus_mi,income_50_k_to_100_k_0_10_mi,income_50_k_to_100_k_10_20_mi,income_50_k_to_100_k_20_30_mi,income_50_k_to_100_k_30_plus_mi,income_100_k_to_150_k_0_10_mi,income_100_k_to_150_k_10_20_mi,income_100_k_to_150_k_20_30_mi,income_100_k_to_150_k_30_plus_mi,income_150_k_to_200_k_0_10_mi,income_150_k_to_200_k_10_20_mi,income_150_k_to_200_k_20_30_mi,income_150_k_to_200_k_30_plus_mi,income_200_k_plus_0_to_10_mi,income_200_k_plus_10_to_20_mi,income_200_k_plus_20_to_30_mi,income_200_k_plus_30_mi,insurance_private_health_insurance_0_to_10_mi,insurance_private_health_insurance_10_to_20_mi,insurance_private_health_insurance_20_to_30_mi,insurance_private_health_insurance_30_plus_mi,insurance_public_health_insurance_0_to_10_mi,insurance_public_health_insurance_10_to_20_mi,insurance_public_health_insurance_20_to_30_mi,insurance_public_health_insurance_30_plus_mi,insurance_no_health_insurance_0_to_10_mi,insurance_no_health_insurance_10_to_20_mi,insurance_no_health_insurance_20_to_30_mi,insurance_no_health_insurance_30_plus_mi,race_hispanic_or_latino_any_race_0_to_10_mi,race_hispanic_or_latino_any_race_10_to_20_mi,race_hispanic_or_latino_any_race_20_to_30_mi,race_hispanic_or_latino_any_race_30_plus_mi,race_white_0_to_10_mi,race_white_10_to_20_mi,race_white_20_to_30_mi,race_white_30_plus_mi,race_black_0_to_10_mi,race_black_10_to_20_mi,race_black_20_to_30_mi,race_black_30_plus_mi,race_american_indian_alaska_native_0_to_10_mi,race_american_indian_alaska_native_10_to_20_mi,race_american_indian_alaska_native_20_to_30_mi,race_american_indian_alaska_native_30_plus_mi,race_asian_0_to_10_mi,race_asian_10_to_20_mi,race_asian_20_to_30_mi,race_asian_30_plus_mi,race_native_hawaiian_other_pacific_islander_0_to_10_mi,race_native_hawaiian_other_pacific_islander_10_to_20_mi,race_native_hawaiian_other_pacific_islander_20_to_30_mi,race_native_hawaiian_other_pacific_islander_30_plus_mi,race_multiracial_or_other_0_to_10_mi,race_multiracial_or_other_10_to_20_mi,race_multiracial_or_other_20_to_30_mi,race_multiracial_or_other_30_plus_mi,sex_male_0_to_10_mi,sex_male_10_to_20_mi,sex_male_20_to_30_mi,sex_male_30_plus_mi,sex_female_0_to_10_mi,sex_female_10_to_20_mi,sex_female_20_to_30_mi,sex_female_30_plus_mi
Adams County,29827,992,0,0,1626,12469,31944,6269,208,0,0,1961,65,0,0,2258,75,0,0,6058,201,0,0,3220,107,0,0,3839,128,0,0,7637,254,0,0,12980,432,0,0,5929,197,0,0,2296,76,0,0,405,13,0,0,577,19,0,0,14133,470,0,0,14113,469,0,0,4934,164,0,0,2056,68,0,0,10179,339,0,0,17229,573,0,0,12,0,0,0,42,1,0,0,0,0,0,0,309,10,0,0,14925,496,0,0,14902,496,0,0
Alcorn County,35622,2554,0,0,823,12154,21061,8921,640,0,0,2782,199,0,0,3909,280,0,0,9936,712,0,0,4402,316,0,0,5672,407,0,0,6668,478,0,0,16239,1164,0,0,8710,624,0,0,2919,209,0,0,585,42,0,0,493,35,0,0,19715,1413,0,0,14942,1071,0,0,5712,410,0,0,1260,90,0,0,29666,2127,0,0,3947,283,0,0,73,5,0,0,112,8,0,0,0,0,0,0,580,42,0,0,17699,1269,0,0,17923,1285,0,0
Amite County,6976,6809,0,0,291,15428,27127,1648,1609,0,0,512,499,0,0,648,633,0,0,1918,1872,0,0,997,973,0,0,1253,1223,0,0,1899,1854,0,0,3111,3036,0,0,1345,1313,0,0,386,377,0,0,167,163,0,0,65,64,0,0,3360,3279,0,0,3321,3242,0,0,1032,1007,0,0,18,17,0,0,3961,3866,0,0,2974,2902,0,0,0,0,0,0,13,13,0,0,0,0,0,0,16,15,0,0,3474,3391,0,0,3502,3418,0,0
Attala County,2083,14280,3263,0,4836,25731,39692,558,3824,874,0,160,1096,250,0,200,1369,313,0,547,3750,857,0,262,1800,411,0,356,2440,558,0,514,3526,806,0,862,5911,1350,0,511,3505,801,0,115,790,180,0,35,242,55,0,45,311,71,0,1146,7858,1795,0,971,6655,1520,0,265,1817,415,0,44,302,69,0,1142,7829,1789,0,867,5944,1358,0,0,2,1,0,6,41,9,0,0,0,0,0,23,160,37,0,990,6786,1550,0,1093,7494,1712,0
Benton County,5162,3356,0,0,1390,13607,25186,1344,874,0,0,408,265,0,0,547,356,0,0,1458,948,0,0,624,406,0,0,780,507,0,0,1080,702,0,0,2309,1501,0,0,1146,745,0,0,525,341,0,0,25,16,0,0,73,47,0,0,2889,1878,0,0,2056,1337,0,0,934,607,0,0,117,76,0,0,3186,2071,0,0,1830,1190,0,0,20,13,0,0,0,0,0,0,0,0,0,0,10,7,0,0,2572,1672,0,0,2590,1684,0,0
Bolivar County,24698,6490,25,0,45,15852,34396,6630,1742,7,0,2990,786,3,0,2835,745,3,0,6237,1639,6,0,3065,805,3,0,2940,772,3,0,7415,1948,8,0,10727,2819,11,0,4724,1241,5,0,1151,302,1,0,395,104,0,0,280,74,0,0,10182,2676,10,0,11965,3144,12,0,4409,1158,5,0,475,125,0,0,7209,1894,7,0,16703,4389,17,0,51,13,0,0,208,55,0,0,0,0,0,0,52,14,0,0,11502,3022,12,0,13196,3467,14,0
Calhoun County,12171,3037,0,0,34,14208,28324,3140,783,0,0,937,234,0,0,1237,309,0,0,3336,832,0,0,1528,381,0,0,1992,497,0,0,2819,703,0,0,5429,1355,0,0,3134,782,0,0,608,152,0,0,131,33,0,0,46,11,0,0,6282,1567,0,0,5564,1388,0,0,1747,436,0,0,692,173,0,0,8125,2027,0,0,3134,782,0,0,0,0,0,0,2,1,0,0,61,15,0,0,165,41,0,0,5845,1458,0,0,6326,1578,0,0
Carroll County,4130,6520,0,0,7116,16947,25526,935,1475,0,0,303,479,0,0,407,643,0,0,1178,1859,0,0,605,956,0,0,702,1108,0,0,799,1261,0,0,1491,2354,0,0,1285,2028,0,0,317,501,0,0,102,162,0,0,132,209,0,0,2316,3656,0,0,1895,2992,0,0,489,771,0,0,22,35,0,0,2630,4152,0,0,1417,2238,0,0,9,14,0,0,20,31,0,0,0,0,0,0,34,53,0,0,2100,3316,0,0,2030,3205,0,0
Chickasaw County,9339,7034,60,0,681,17703,32424,2565,1932,17,0,806,607,5,0,975,735,6,0,2513,1893,16,0,1143,861,7,0,1338,1007,9,0,2217,1669,14,0,4348,3275,28,0,2005,1510,13,0,446,336,3,0,168,126,1,0,157,119,1,0,5067,3816,33,0,4291,3232,28,0,1416,1066,9,0,389,293,3,0,4733,3565,31,0,4092,3082,26,0,5,3,0,0,47,36,0,0,0,0,0,0,69,52,0,0,4527,3410,29,0,4812,3625,31,0
Choctaw County,0,5295,2718,0,16437,31088,40679,0,1343,690,0,0,378,194,0,0,486,250,0,0,1442,740,0,0,742,381,0,0,902,463,0,0,1366,701,0,0,2042,1048,0,0,1405,721,0,0,381,196,0,0,93,48,0,0,6,3,0,0,2762,1418,0,0,2434,1249,0,0,638,327,0,0,13,7,0,0,3623,1860,0,0,1615,829,0,0,15,7,0,0,4,2,0,0,6,3,0,0,19,10,0,0,2547,1307,0,0,2748,1411,0
