county,total_0_to_30_min,total_30_to_45_min,total_45_to_60_min,total_60_plus_min,min_driving_time,avg_driving_time,max_driving_time,age_0_to_18_years_0_30_min,age_0_to_18_years_30_45_min,age_0_to_18_years_45_60_min,age_0_to_18_years_60_plus_min,age_19_to_25_years_0_30_min,age_19_to_25_years_30_45_min,age_19_to_25_years_45_60_min,age_19_to_25_years_60_plus_min,age_26_to_34_years_0_30_min,age_26_to_34_years_30_45_min,age_26_to_34_years_45_60_min,age_26_to_34_years_60_plus_min,age_35_to_54_years_0_30_min,age_35_to_54_years_30_45_min,age_35_to_54_years_45_60_min,age_35_to_54_years_60_plus_min,age_55_to_64_years_0_30_min,age_55_to_64_years_30_45_min,age_55_to_64_years_45_60_min,age_55_to_64_years_60_plus_min,age_65_plus_years_0_to_30_min,age_65_plus_years_30_to_45_min,age_65_plus_years_45_to_60_min,age_65_plus_years_60_min,income_0_to_15_k_0_30_min,income_0_to_15_k_30_45_min,income_0_to_15_k_45_60_min,income_0_to_15_k_60_plus_min,income_15_k_to_50_k_0_30_min,income_15_k_to_50_k_30_45_min,income_15_k_to_50_k_45_60_min,income_15_k_to_50_k_60_plus_min,income_50_k_to_100_k_0_30_min,income_50_k_to_100_k_30_45_min,income_50_k_to_100_k_45_60_min,income_50_k_to_100_k_60_plus_min,income_100_k_to_150_k_0_30_min,income_100_k_to_150_k_30_45_min,income_100_k_to_150_k_45_60_min,income_100_k_to_150_k_60_plus_min,income_150_k_to_200_k_0_30_min,income_150_k_to_200_k_30_45_min,income_150_k_to_200_k_45_60_min,income_150_k_to_200_k_60_plus_min,income_200_k_plus_0_to_30_min,income_200_k_plus_30_to_45_min,income_200_k_plus_45_to_60_min,income_200_k_plus_60_min,insurance_private_health_insurance_0_to_30_min,insurance_private_health_insurance_30_to_45_min,insurance_private_health_insurance_45_to_60_min,insurance_private_health_insurance_60_plus_min,insurance_public_health_insurance_0_to_30_min,insurance_public_health_insurance_30_to_45_min,insurance_public_health_insurance_45_to_60_min,insurance_public_health_insurance_60_plus_min,insurance_no_health_insurance_0_to_30_min,insurance_no_health_insurance_30_to_45_min,insurance_no_health_insurance_45_to_60_min,insurance_no_health_insurance_60_plus_min,race_hispanic_or_latino_any_race_0_to_30_min,race_hispanic_or_latino_any_race_30_to_45_min,race_hispanic_or_latino_any_race_45_to_60_min,race_hispanic_or_latino_any_race_60_plus_min,race_white_0_to_30_min,race_white_30_to_45_min,race_white_45_to_60_min,race_white_60_plus_min,race_black_0_to_30_min,race_black_30_to_45_min,race_black_45_to_60_min,race_black_60_plus_min,race_american_indian_alaska_native_0_to_30_min,race_american_indian_alaska_native_30_to_45_min,race_american_indian_alaska_native_45_to_60_min,race_american_indian_alaska_native_60_plus_min,race_asian_0_to_30_min,race_asian_30_to_45_min,race_asian_45_to_60_min,race_asian_60_plus_min,race_native_hawaiian_other_pacific_islander_0_to_30_min,race_native_hawaiian_other_pacific_islander_30_to_45_min,race_native_hawaiian_other_pacific_islander_45_to_60_min,race_native_hawaiian_other_pacific_islander_60_plus_min,race_multiracial_or_other_0_to_30_min,race_multiracial_or_other_30_to_45_min,race_multiracial_or_other_45_to_60_min,race_multiracial_or_other_60_plus_min,sex_male_0_to_30_min,sex_male_30_to_45_min,sex_male_45_to_60_min,sex_male_60_plus_min,sex_female_0_to_30_min,sex_female_30_to_45_min,sex_female_45_to_60_min,sex_female_60_plus_min
Anderson County,44169,14694,320,59,0,29,107,9475,3152,69,13,3290,1095,24,4,5115,1702,37,7,12452,4143,90,17,4938,1643,36,7,5469,1819,40,7,6003,1997,43,8,18658,6207,135,25,13609,4527,99,18,3107,1034,23,4,1875,624,14,2,933,310,7,1,27823,9256,202,37,14831,4934,107,20,6882,2289,50,9,7855,2613,57,10,27345,9097,198,36,8162,2715,59,11,157,52,1,0,222,74,2,0,5,2,0,0,424,141,3,1,25005,8318,181,33,19164,6375,139,25
Andrews County,2,14542,1043,21,28,51,85,1,4492,322,6,0,1425,102,2,0,1706,122,2,1,3898,280,6,0,1440,103,2,0,1582,113,2,0,1227,88,2,1,4480,321,6,1,4988,358,7,0,2333,167,3,0,965,69,1,0,534,38,1,1,9092,652,13,1,3833,275,6,0,2518,181,4,1,8463,607,12,1,5503,395,8,0,217,16,0,0,5,0,0,0,13,1,0,0,0,0,0,0,346,25,1,1,7398,531,11,1,7144,513,10
Angelina County,84475,4139,1455,59,1,27,106,23431,1148,404,16,7360,361,127,5,9401,461,162,7,22938,1124,395,16,9614,471,166,7,11731,575,202,8,12727,624,219,9,34815,1706,600,24,25887,1268,446,18,7269,356,125,5,2150,105,37,2,1631,80,28,1,47566,2331,819,33,31785,1557,548,22,15618,765,269,11,16423,805,283,12,53672,2630,925,38,12095,593,208,9,75,4,1,0,934,46,16,1,7,0,0,0,1262,62,22,1,40718,1995,702,29,43757,2144,754,31
Aransas County,4114,17550,1509,7,22,37,76,838,3574,307,1,250,1066,92,0,302,1289,111,0,1028,4384,377,2,687,2929,252,1,1010,4309,371,2,622,2651,228,1,1653,7050,606,3,981,4185,360,2,495,2112,182,1,161,688,59,0,201,856,74,0,2329,9935,854,4,1775,7570,651,3,739,3150,271,1,1014,4327,372,2,2882,12294,1057,5,60,258,22,0,11,46,4,0,35,149,13,0,0,0,0,0,112,477,41,0,2033,8674,746,3,2081,8877,763,3
Archer County,5228,3526,557,536,10,43,87,1329,896,142,136,343,231,37,35,432,291,46,44,1614,1088,172,165,688,464,73,71,823,555,88,84,562,379,60,58,1574,1062,168,161,1813,1223,193,186,880,594,94,90,218,147,23,22,177,119,19,18,3813,2572,406,391,1444,974,154,148,649,438,69,67,421,284,45,43,4640,3130,494,476,34,23,4,3,60,41,6,6,26,17,3,3,0,0,0,0,47,32,5,5,2598,1752,277,266,2630,1774,280,270
Armstrong County,108,1410,68,147,21,52,121,25,329,16,34,5,62,3,6,11,140,7,15,29,371,18,39,17,219,11,23,22,289,14,30,10,130,6,13,31,401,19,42,37,482,23,50,21,278,13,29,8,104,5,11,1,16,1,2,85,1111,54,116,32,412,20,43,7,96,5,10,14,179,9,19,91,1180,57,123,1,10,0,1,1,17,1,2,0,0,0,0,0,0,0,0,2,24,1,2,55,718,35,75,53,692,34,72
Atascosa County,48143,2067,125,8,0,25,71,14345,616,37,2,3895,167,10,1,4851,208,13,1,13166,565,34,2,5800,249,15,1,6085,261,16,1,5201,223,13,1,16944,727,44,3,15760,677,41,3,6887,296,18,1,2207,95,6,0,1157,50,3,0,29102,1249,75,5,14886,639,39,3,8887,382,23,2,30166,1295,78,5,16957,728,44,3,343,15,1,0,62,3,0,0,169,7,0,0,0,0,0,0,445,19,1,0,23958,1028,62,4,24185,1038,63,4
Austin County,19618,7595,1982,140,9,35,65,5160,1998,521,37,1401,542,142,10,1884,729,190,13,5553,2150,561,39,2629,1018,266,19,2990,1158,302,21,2261,875,228,16,6605,2557,667,47,5868,2272,593,42,3076,1191,311,22,1101,426,111,8,696,270,70,5,13151,5091,1329,94,5854,2266,591,42,3277,1269,331,23,5141,1990,519,37,12333,4775,1246,88,1720,666,174,12,5,2,0,0,14,5,1,0,0,0,0,0,408,158,41,3,9666,3742,977,69,9952,3853,1006,71
Bailey County,0,0,26,7889,55,80,106,0,0,8,2536,0,0,2,708,0,0,3,874,0,0,6,1903,0,0,3,771,0,0,4,1097,0,0,3,844,0,0,15,4489,0,0,6,1917,0,0,1,426,0,0,0,134,0,0,0,103,0,0,11,3353,0,0,10,2982,0,0,8,2327,0,0,16,4867,0,0,9,2801,0,0,1,166,0,0,0,0,0,0,0,39,0,0,0,8,0,0,0,0,0,0,14,4189,0,0,12,3700
Bandera County,3243,11518,5329,1569,14,54,121,664,2359,1092,321,165,586,271,80,221,785,363,107,965,3426,1585,467,579,2055,951,280,649,2306,1067,314,420,1491,690,203,1102,3916,1812,533,1010,3587,1660,488,409,1454,673,198,175,622,288,85,128,455,211,62,2112,7504,3472,1022,1283,4557,2108,621,488,1732,801,236,568,2018,934,275,2576,9149,4233,1246,21,74,34,10,15,55,25,7,7,23,11,3,0,0,0,0,56,200,92,27,1600,5685,2631,774,1642,5833,2699,794
Bastrop County,80827,3249,343,0,0,20,52,22039,886,94,0,5749,231,24,0,8377,337,36,0,24792,997,105,0,10676,429,45,0,9194,370,39,0,7875,317,33,0,27667,1112,117,0,25345,1019,108,0,13385,538,57,0,4316,174,18,0,2220,89,9,0,50022,2011,212,0,25915,1042,110,0,15422,620,65,0,27387,1101,116,0,45137,1814,192,0,6244,251,27,0,326,13,1,0,718,29,3,0,0,0,0,0,1053,42,4,0,40860,1642,173,0,39967,1607,170,0
Baylor County,0,15,64,3531,38,73,102,0,3,14,765,0,1,4,234,0,1,5,293,0,4,17,911,0,2,8,450,0,4,16,878,0,3,12,664,0,7,30,1635,0,3,14,770,0,1,4,194,0,0,1,74,0,1,4,194,0,9,41,2253,0,5,23,1250,0,3,12,650,0,1,5,297,0,13,56,3058,0,0,1,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,113,0,7,31,1706,0,8,33,1826
Bee County,30530,709,33,2,0,23,64,7034,163,8,0,3515,82,4,0,4532,105,5,0,9373,218,10,0,3017,70,3,0,3060,71,3,0,4338,101,5,0,10655,248,12,1,10428,242,11,1,2875,67,3,0,626,15,1,0,1641,38,2,0,17039,396,19,1,9431,219,10,0,6762,157,7,0,17929,417,20,1,9666,225,11,0,2499,58,3,0,263,6,0,0,84,2,0,0,0,0,0,0,87,2,0,0,18823,437,21,1,11707,272,13,1
Bell County,350390,5541,162,0,0,21,48,104983,1660,48,0,47542,752,22,0,51965,822,24,0,88813,1404,41,0,29337,464,14,0,27750,439,13,0,43993,696,20,0,131826,2085,61,0,114738,1814,53,0,38328,606,18,0,11322,179,5,0,10061,159,5,0,244753,3870,113,0,104870,1658,48,0,45495,719,21,0,82761,1309,38,0,165794,2622,77,0,74775,1182,35,0,1365,22,1,0,9086,144,4,0,2733,43,1,0,13860,219,6,0,176421,2790,81,0,173969,2751,80,0
Bexar County,1876820,670,0,0,0,10,38,533440,190,0,0,211464,75,0,0,249793,89,0,0,517007,185,0,0,182236,65,0,0,182880,65,0,0,259639,93,0,0,658229,235,0,0,581878,208,0,0,232331,83,0,0,75156,27,0,0,67900,24,0,0,1147797,410,0,0,596737,213,0,0,311312,111,0,0,1112980,397,0,0,530951,190,0,0,144744,52,0,0,3378,1,0,0,49754,18,0,0,781,0,0,0,32637,12,0,0,930458,332,0,0,944956,337,0,0
Blanco County,3288,4156,3718,361,13,43,82,748,945,846,82,183,231,207,20,248,313,280,27,936,1183,1059,103,580,734,656,64,593,749,670,65,268,339,303,29,1248,1578,1412,137,1004,1269,1135,110,420,531,475,46,184,233,209,20,165,208,186,18,2175,2749,2459,239,1059,1339,1198,116,593,750,671,65,618,781,699,68,2568,3246,2904,282,0,0,0,0,4,4,4,0,23,29,26,3,0,0,0,0,73,92,82,8,1656,2094,1873,182,1631,2062,1845,179
Borden County,35,92,316,202,28,63,104,8,21,73,47,2,5,16,10,3,7,24,16,10,27,92,59,5,13,45,29,7,19,65,42,2,6,19,12,7,18,63,40,15,38,131,84,8,21,73,47,0,1,4,2,3,8,27,17,29,76,261,167,10,25,87,56,1,4,12,8,2,4,15,10,33,86,296,189,0,0,0,0,1,1,5,3,0,0,0,0,0,0,0,0,0,0,0,0,19,49,169,108,16,43,147,94
Bosque County,1571,3316,4670,8694,27,63,93,368,776,1092,2034,94,198,279,519,129,272,383,714,415,876,1233,2296,228,482,679,1263,338,713,1004,1868,174,367,517,963,685,1446,2036,3791,474,1001,1409,2624,158,333,469,873,29,62,87,162,49,104,147,273,928,1959,2759,5136,584,1233,1736,3232,330,696,980,1824,253,534,752,1401,1259,2657,3741,6965,21,44,62,115,6,12,17,31,7,14,20,37,0,0,0,0,27,56,79,147,773,1630,2296,4274,799,1686,2374,4419
Bowie County,78596,13294,2943,181,1,35,79,19637,3321,735,45,7032,1189,263,16,9730,1646,364,22,22413,3791,839,52,9241,1563,346,21,10544,1783,395,24,13779,2331,516,32,32325,5468,1211,74,22049,3729,826,51,6080,1028,228,14,2063,349,77,5,2324,393,87,5,46060,7791,1725,106,29125,4926,1091,67,13296,2249,498,31,6421,1086,240,15,48832,8259,1829,112,20150,3408,755,46,613,104,23,1,635,107,24,1,4,1,0,0,1934,327,72,4,39930,6754,1495,92,38666,6540,1448,89
Brazoria County,336900,17726,775,294,0,22,64,96779,5092,223,84,26601,1400,61,23,41394,2178,95,36,105436,5548,243,92,35630,1875,82,31,31061,1634,71,27,29110,1532,67,25,86213,4536,198,75,108012,5683,249,94,61391,3230,141,54,28077,1477,65,24,24006,1263,55,21,236143,12425,543,206,76153,4007,175,66,51870,2729,119,45,101664,5349,234,89,171510,9024,395,150,40192,2115,92,35,940,49,2,1,17680,930,41,15,5,0,0,0,4949,260,11,4,170886,8991,393,149,166014,8735,382,145
