county,total_0_to_10_mi,total_10_to_20_mi,total_20_to_30_mi,total_30_plus_mi,min_straight_line,avg_straight_line,max_straight_line,age_0_to_18_years_0_10_mi,age_0_to_18_years_10_20_mi,age_0_to_18_years_20_30_mi,age_0_to_18_years_30_plus_mi,age_19_to_25_years_0_10_mi,age_19_to_25_years_10_20_mi,age_19_to_25_years_20_30_mi,age_19_to_25_years_30_plus_mi,age_26_to_34_years_0_10_mi,age_26_to_34_years_10_20_mi,age_26_to_34_years_20_30_mi,age_26_to_34_years_30_plus_mi,age_35_to_54_years_0_10_mi,age_35_to_54_years_10_20_mi,age_35_to_54_years_20_30_mi,age_35_to_54_years_30_plus_mi,age_55_to_64_years_0_10_mi,age_55_to_64_years_10_20_mi,age_55_to_64_years_20_30_mi,age_55_to_64_years_30_plus_mi,age_65_plus_years_0_to_10_mi,age_65_plus_years_10_to_20_mi,age_65_plus_years_20_to_30_mi,age_65_plus_years_30_mi,income_0_to_15_k_0_10_mi,income_0_to_15_k_10_20_mi,income_0_to_15_k_20_30_mi,income_0_to_15_k_30_plus_mi,income_15_k_to_50_k_0_10_mi,income_15_k_to_50_k_10_20_mi,income_15_k_to_50_k_20_30_mi,income_15_k_to_50_k_30_plus_mi,income_50_k_to_100_k_0_10_mi,income_50_k_to_100_k_10_20_mi,income_50_k_to_100_k_20_30_mi,income_50_k_to_100_k_30_plus_mi,income_100_k_to_150_k_0_10_mi,income_100_k_to_150_k_10_20_mi,income_100_k_to_150_k_20_30_mi,income_100_k_to_150_k_30_plus_mi,income_150_k_to_200_k_0_10_mi,income_150_k_to_200_k_10_20_mi,income_150_k_to_200_k_20_30_mi,income_150_k_to_200_k_30_plus_mi,income_200_k_plus_0_to_10_mi,income_200_k_plus_10_to_20_mi,income_200_k_plus_20_to_30_mi,income_200_k_plus_30_mi,insurance_private_health_insurance_0_to_10_mi,insurance_private_health_insurance_10_to_20_mi,insurance_private_health_insurance_20_to_30_mi,insurance_private_health_insurance_30_plus_mi,insurance_public_health_insurance_0_to_10_mi,insurance_public_health_insurance_10_to_20_mi,insurance_public_health_insurance_20_to_30_mi,insurance_public_health_insurance_30_plus_mi,insurance_no_health_insurance_0_to_10_mi,insurance_no_health_insurance_10_to_20_mi,insurance_no_health_insurance_20_to_30_mi,insurance_no_health_insurance_30_plus_mi,race_hispanic_or_latino_any_race_0_to_10_mi,race_hispanic_or_latino_any_race_10_to_20_mi,race_hispanic_or_latino_any_race_20_to_30_mi,race_hispanic_or_latino_any_race_30_plus_mi,race_white_0_to_10_mi,race_white_10_to_20_mi,race_white_20_to_30_mi,race_white_30_plus_mi,race_black_0_to_10_mi,race_black_10_to_20_mi,race_black_20_to_30_mi,race_black_30_plus_mi,race_american_indian_alaska_native_0_to_10_mi,race_american_indian_alaska_native_10_to_20_mi,race_american_indian_alaska_native_20_to_30_mi,race_american_indian_alaska_native_30_plus_mi,race_asian_0_to_10_mi,race_asian_10_to_20_mi,race_asian_20_to_30_mi,race_asian_30_plus_mi,race_native_hawaiian_other_pacific_islander_0_to_10_mi,race_native_hawaiian_other_pacific_islander_10_to_20_mi,race_native_hawaiian_other_pacific_islander_20_to_30_mi,race_native_hawaiian_other_pacific_islander_30_plus_mi,race_multiracial_or_other_0_to_10_mi,race_multiracial_or_other_10_to_20_mi,race_multiracial_or_other_20_to_30_mi,race_multiracial_or_other_30_plus_mi,sex_male_0_to_10_mi,sex_male_10_to_20_mi,sex_male_20_to_30_mi,sex_male_30_plus_mi,sex_female_0_to_10_mi,sex_female_10_to_20_mi,sex_female_20_to_30_mi,sex_female_30_plus_mi
Anderson County,37104,21798,339,0,512,19784,36183,7959,4676,73,0,2764,1624,25,0,4297,2524,39,0,10461,6145,95,0,4148,2437,38,0,4595,2699,42,0,5043,2963,46,0,15674,9208,143,0,11432,6716,104,0,2610,1533,24,0,1575,925,14,0,784,460,7,0,23373,13731,213,0,12459,7319,114,0,5781,3396,53,0,6599,3877,60,0,22972,13495,210,0,6856,4028,63,0,132,78,1,0,186,109,2,0,5,3,0,0,356,209,3,0,21005,12340,192,0,16099,9458,147,0
Andrews County,0,3,1547,14058,27890,51092,74586,0,1,478,4342,0,0,152,1378,0,0,181,1649,0,1,415,3769,0,0,153,1392,0,0,168,1529,0,0,131,1186,0,1,477,4331,0,1,531,4821,0,1,248,2255,0,0,103,933,0,0,57,516,0,2,967,8789,0,1,408,3706,0,1,268,2434,0,2,901,8181,0,1,586,5319,0,0,23,210,0,0,1,5,0,0,1,13,0,0,0,0,0,0,37,335,0,2,787,7152,0,2,760,6906
Angelina County,70356,17032,2741,0,1280,19787,43725,19514,4724,760,0,6130,1484,239,0,7830,1895,305,0,19104,4625,744,0,8007,1938,312,0,9770,2365,381,0,10600,2566,413,0,28996,7020,1130,0,21560,5219,840,0,6054,1466,236,0,1791,434,70,0,1358,329,53,0,39615,9590,1544,0,26472,6409,1032,0,13007,3149,507,0,13678,3311,533,0,44701,10822,1742,0,10073,2439,393,0,63,15,2,0,778,188,30,0,6,1,0,0,1051,254,41,0,33912,8210,1321,0,36443,8822,1420,0
Aransas County,0,8574,14599,7,17131,30011,58207,0,1746,2973,1,0,521,887,0,0,630,1072,0,0,2142,3647,2,0,1431,2436,1,0,2105,3584,2,0,1295,2205,1,0,3445,5865,3,0,2045,3482,2,0,1032,1757,1,0,336,573,0,0,418,712,0,0,4854,8265,4,0,3698,6297,3,0,1539,2621,1,0,2114,3600,2,0,6006,10227,5,0,126,215,0,0,23,38,0,0,73,124,0,0,0,0,0,0,233,397,0,0,4238,7215,3,0,4337,7384,3
Archer County,2887,3113,3309,537,10238,36160,65621,734,791,841,137,189,204,217,35,239,257,273,44,891,961,1022,166,380,410,436,71,454,490,521,85,310,334,356,58,870,938,997,162,1001,1080,1148,186,486,524,557,90,120,130,138,22,98,105,112,18,2106,2271,2414,392,798,860,914,148,359,387,411,67,233,251,267,43,2563,2763,2937,477,19,20,21,3,33,36,38,6,14,15,16,3,0,0,0,0,26,28,30,5,1435,1547,1644,267,1453,1566,1665,270
Armstrong County,0,152,1392,189,18645,43559,78189,0,35,325,44,0,7,62,8,0,15,138,19,0,40,366,50,0,24,216,29,0,31,285,39,0,14,128,17,0,43,395,54,0,52,476,65,0,30,274,37,0,11,103,14,0,2,15,2,0,120,1097,149,0,44,407,55,0,10,95,13,0,19,177,24,0,127,1165,159,0,1,10,1,0,2,17,2,0,0,0,0,0,0,0,0,0,3,24,3,0,77,709,96,0,75,684,93
Atascosa County,42787,7517,39,0,820,17763,37052,12749,2240,12,0,3461,608,3,0,4312,757,4,0,11702,2056,11,0,5154,905,5,0,5408,950,5,0,4622,812,4,0,15059,2645,14,0,14006,2461,13,0,6121,1075,6,0,1961,345,2,0,1028,181,1,0,25865,4544,23,0,13230,2324,12,0,7899,1388,7,0,26810,4710,24,0,15070,2647,14,0,304,53,0,0,55,10,0,0,150,26,0,0,0,0,0,0,395,69,0,0,21293,3741,19,0,21494,3776,19,0
Austin County,3261,22107,3966,0,8348,26965,42712,858,5815,1043,0,233,1579,283,0,313,2123,381,0,923,6258,1123,0,437,2963,531,0,497,3370,605,0,376,2548,457,0,1098,7443,1335,0,975,6612,1186,0,511,3467,622,0,183,1241,223,0,116,785,141,0,2186,14820,2659,0,973,6597,1183,0,545,3693,663,0,855,5794,1039,0,2050,13899,2493,0,286,1939,348,0,1,5,1,0,2,15,3,0,0,0,0,0,68,460,83,0,1607,10892,1954,0,1654,11215,2012,0
Bailey County,0,0,72,7843,41437,67380,85319,0,0,23,2521,0,0,6,704,0,0,8,869,0,0,17,1892,0,0,7,766,0,0,10,1091,0,0,8,839,0,0,41,4463,0,0,17,1906,0,0,4,424,0,0,1,133,0,0,1,102,0,0,30,3333,0,0,27,2965,0,0,21,2314,0,0,44,4839,0,0,25,2784,0,0,2,165,0,0,0,0,0,0,0,39,0,0,0,8,0,0,0,0,0,0,38,4165,0,0,34,3678
Bandera County,558,15059,5398,644,10811,31664,51242,114,3084,1106,132,28,766,275,33,38,1027,368,44,166,4479,1606,192,100,2687,963,115,112,3015,1081,129,72,1949,699,83,190,5120,1835,219,174,4689,1681,201,70,1901,681,81,30,813,291,35,22,595,213,25,363,9811,3516,420,221,5957,2135,255,84,2265,812,97,98,2639,946,113,443,11962,4287,512,4,96,35,4,3,72,26,3,1,30,11,1,0,0,0,0,10,261,94,11,275,7433,2664,318,283,7626,2733,326
